"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912797LG0","Bill","17-Week","05/08/2024","05/14/2024","09/10/2024","98.267889"
"91282CKR1","Note","3-Year","05/07/2024","05/15/2024","05/15/2027","99.708904"
"912796ZW2","Bill","42-Day","05/07/2024","05/09/2024","06/20/2024","99.384000"
"912797GK7","Bill","13-Week","05/06/2024","05/09/2024","08/08/2024","98.672917"
"912797LC9","Bill","26-Week","05/06/2024","05/09/2024","11/07/2024","97.393861"
"912797JZ1","Bill","4-Week","05/02/2024","05/07/2024","06/04/2024","99.589722"
"912797KH9","Bill","8-Week","05/02/2024","05/07/2024","07/02/2024","99.180222"
"912797LA3","Bill","17-Week","05/01/2024","05/07/2024","09/03/2024","98.266236"
"912797FS1","Bill","42-Day","04/30/2024","05/02/2024","06/13/2024","99.383417"
"912797JU2","Bill","13-Week","04/29/2024","05/02/2024","08/01/2024","98.672917"
"912797HE0","Bill","26-Week","04/29/2024","05/02/2024","10/31/2024","97.388806"
"912797JY4","Bill","4-Week","04/25/2024","04/30/2024","05/28/2024","99.589722"
"912797KG1","Bill","8-Week","04/25/2024","04/30/2024","06/25/2024","99.179444"
"91282CKN0","Note","7-Year","04/25/2024","04/30/2024","04/30/2031","99.462794"
"912797KZ9","Bill","17-Week","04/24/2024","04/30/2024","08/27/2024","98.267889"
"91282CKM2","Note","2-Year","04/24/2024","04/30/2024","04/30/2026","100.000000"
"91282CKP5","Note","5-Year","04/24/2024","04/30/2024","04/30/2029","99.849895"
"91282CKK6","Note","2-Year","04/23/2024","04/30/2024","04/30/2026","99.956684"
"912797HT7","Bill","42-Day","04/23/2024","04/25/2024","06/06/2024","99.383417"
"912797JT5","Bill","13-Week","04/22/2024","04/25/2024","07/25/2024","98.671653"
"912797KV8","Bill","26-Week","04/22/2024","04/25/2024","10/24/2024","97.391333"
"91282CKL4","Note","5-Year","04/18/2024","04/30/2024","04/15/2029","99.760176"
"912797JX6","Bill","4-Week","04/18/2024","04/23/2024","05/21/2024","99.589333"
"912797KF3","Bill","8-Week","04/18/2024","04/23/2024","06/18/2024","99.179444"
"912810TZ1","Bond","19-Year 10-Month","04/17/2024","04/30/2024","02/15/2044","95.958772"
"912797KY2","Bill","17-Week","04/17/2024","04/23/2024","08/20/2024","98.267889"
