"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794UV4","Bill","13-Week","04/16/1990","04/19/1990","07/19/1990",""
"912794VF8","Bill","26-Week","04/16/1990","04/19/1990","10/18/1990",""
"912827YT3","Note","7-Year","04/11/1990","04/16/1990","04/15/1997",""
"912794UU6","Bill","13-Week","04/09/1990","04/12/1990","07/12/1990",""
"912794VE1","Bill","26-Week","04/09/1990","04/12/1990","10/11/1990",""
"912794WD2","Bill","52-Week","04/05/1990","04/12/1990","04/11/1991",""
"912794UM4","Bill","13-Week","04/02/1990","04/05/1990","07/05/1990",""
"912794VD3","Bill","26-Week","04/02/1990","04/05/1990","10/04/1990",""
"912794UA0","Bill","16-Day","03/29/1990","04/03/1990","04/19/1990",""
"912827YS5","Note","4-Year","03/28/1990","04/02/1990","03/31/1994",""
"912827YR7","Note","2-Year","03/27/1990","04/02/1990","03/31/1992",""
"912794UL6","Bill","13-Week","03/26/1990","03/29/1990","06/28/1990",""
"912794UQ5","Bill","26-Week","03/26/1990","03/29/1990","09/27/1990",""
"912794UK8","Bill","13-Week","03/19/1990","03/22/1990","06/21/1990",""
"912794VC5","Bill","26-Week","03/19/1990","03/22/1990","09/20/1990",""
"912794UJ1","Bill","13-Week","03/12/1990","03/15/1990","06/14/1990",""
"912794VB7","Bill","26-Week","03/12/1990","03/15/1990","09/13/1990",""
"912794VZ4","Bill","52-Week","03/08/1990","03/15/1990","03/14/1991",""
"912794UH5","Bill","13-Week","03/05/1990","03/08/1990","06/07/1990",""
"912794VA9","Bill","26-Week","03/05/1990","03/08/1990","09/06/1990",""
"912794UB8","Bill","52-Day","03/01/1990","03/05/1990","04/26/1990",""
"912794UG7","Bill","13-Week","02/26/1990","03/01/1990","05/31/1990",""
"912794UP7","Bill","26-Week","02/26/1990","03/01/1990","08/30/1990",""
"912827YQ9","Note","5-Year 2-Month","02/22/1990","03/01/1990","05/15/1995",""
"912827YP1","Note","2-Year","02/21/1990","02/28/1990","02/29/1992",""
"912794UF9","Bill","13-Week","02/20/1990","02/22/1990","05/24/1990",""
"912794UZ5","Bill","26-Week","02/20/1990","02/22/1990","08/23/1990",""
"912794VV3","Bill","52-Week","02/13/1990","02/15/1990","02/14/1991",""
"912794UE2","Bill","13-Week","02/12/1990","02/15/1990","05/17/1990",""
