"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796FY0","Bill","4-Week","07/07/2015","07/09/2015","08/06/2015","99.998833"
"912796GJ2","Bill","13-Week","07/06/2015","07/09/2015","10/08/2015","99.996208"
"912796FP9","Bill","26-Week","07/06/2015","07/09/2015","01/07/2016","99.957028"
"912796FX2","Bill","4-Week","06/30/2015","07/02/2015","07/30/2015","99.998833"
"912796GG8","Bill","13-Week","06/29/2015","07/02/2015","10/01/2015","99.996208"
"912796GV5","Bill","26-Week","06/29/2015","07/02/2015","12/31/2015","99.944389"
"912828XG0","Note","7-Year","06/25/2015","06/30/2015","06/30/2022","99.818956"
"912828XH8","Note","5-Year","06/24/2015","06/30/2015","06/30/2020","99.594321"
"912828K41","Note","1-Year 10-Month","06/24/2015","06/26/2015","04/30/2017","99.996258"
"912828XJ4","Note","2-Year","06/23/2015","06/30/2015","06/30/2017","99.867151"
"912796EN5","Bill","4-Week","06/23/2015","06/25/2015","07/23/2015","100.000000"
"912796GS2","Bill","52-Week","06/23/2015","06/25/2015","06/23/2016","99.706778"
"912796GF0","Bill","13-Week","06/22/2015","06/25/2015","09/24/2015","99.997472"
"912796GU7","Bill","26-Week","06/22/2015","06/25/2015","12/24/2015","99.959556"
"912810RL4","Bond","29-Year 8-Month","06/18/2015","06/30/2015","02/15/2045","90.591940"
"912796FW4","Bill","4-Week","06/16/2015","06/18/2015","07/16/2015","100.000000"
"912796EX3","Bill","13-Week","06/15/2015","06/18/2015","09/17/2015","99.997472"
"912796GT0","Bill","26-Week","06/15/2015","06/18/2015","12/17/2015","99.949444"
"912810RM2","Bond","29-Year 11-Month","06/11/2015","06/15/2015","05/15/2045","97.331596"
"912828XB1","Note","9-Year 11-Month","06/10/2015","06/15/2015","05/15/2025","97.057688"
"912828XF2","Note","3-Year","06/09/2015","06/15/2015","06/15/2018","100.000000"
"912796FT1","Bill","4-Week","06/09/2015","06/11/2015","07/09/2015","99.999611"
"912796GE3","Bill","13-Week","06/08/2015","06/11/2015","09/10/2015","99.996208"
"912796FN4","Bill","26-Week","06/08/2015","06/11/2015","12/10/2015","99.959556"
"912796FS3","Bill","4-Week","06/02/2015","06/04/2015","07/02/2015","99.999611"
"912796KK4","Bill","12-Day","06/02/2015","06/03/2015","06/15/2015","99.998333"
"912796GC7","Bill","13-Week","06/01/2015","06/04/2015","09/03/2015","99.997472"
"912796GR4","Bill","26-Week","06/01/2015","06/04/2015","12/03/2015","99.964611"
"912828XD7","Note","7-Year","05/28/2015","06/01/2015","05/31/2022","99.915114"
"912828K41","Note","1-Year 11-Month","05/28/2015","05/29/2015","04/30/2017","100.009740"
"912828XE5","Note","5-Year","05/27/2015","06/01/2015","05/31/2020","99.712598"
"912796EJ4","Bill","4-Week","05/27/2015","05/28/2015","06/25/2015","99.999222"
"912796GN3","Bill","52-Week","05/27/2015","05/28/2015","05/26/2016","99.742167"
"912828SY7","Note","2-Year","05/26/2015","06/01/2015","05/31/2017","99.954426"
"912796GB9","Bill","13-Week","05/26/2015","05/28/2015","08/27/2015","99.996208"
"912796GQ6","Bill","26-Week","05/26/2015","05/28/2015","11/27/2015","99.956792"
"912828H45","Note","9-Year 8-Month","05/21/2015","05/29/2015","01/15/2025","98.615297"
"912796FR5","Bill","4-Week","05/19/2015","05/21/2015","06/18/2015","99.998833"
"912796ET2","Bill","13-Week","05/18/2015","05/21/2015","08/20/2015","99.996208"
"912796GP8","Bill","26-Week","05/18/2015","05/21/2015","11/19/2015","99.959556"
"912810RM2","Bond","30-Year","05/14/2015","05/15/2015","05/15/2045","99.138514"
"912828XB1","Note","10-Year","05/13/2015","05/15/2015","05/15/2025","99.001405"
"912828XA3","Note","3-Year","05/12/2015","05/15/2015","05/15/2018","100.000000"
"912796FQ7","Bill","4-Week","05/12/2015","05/14/2015","06/11/2015","99.999222"
"912796GA1","Bill","13-Week","05/11/2015","05/14/2015","08/13/2015","99.994944"
"912796FG9","Bill","26-Week","05/11/2015","05/14/2015","11/12/2015","99.957028"
"912796FK0","Bill","4-Week","05/05/2015","05/07/2015","06/04/2015","100.000000"
"912796FY0","Bill","13-Week","05/04/2015","05/07/2015","08/06/2015","99.996208"
"912796GM5","Bill","26-Week","05/04/2015","05/07/2015","11/05/2015","99.964611"
"912828K41","Note","2-Year","04/29/2015","04/30/2015","04/30/2017","100.000000"
