"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794AV6","Bill","13-Week","03/29/1982","04/01/1982","07/01/1982",""
"912794BN3","Bill","26-Week","03/29/1982","04/01/1982","09/30/1982",""
"912827NA6","Note","4-Year","03/24/1982","03/31/1982","03/31/1986",""
"912794AU8","Bill","13-Week","03/22/1982","03/25/1982","06/24/1982",""
"912794BM5","Bill","26-Week","03/22/1982","03/25/1982","09/23/1982",""
"912794CA0","Bill","52-Week","03/18/1982","03/25/1982","03/24/1983",""
"912827MZ2","Note","2-Year","03/17/1982","03/31/1982","03/31/1984",""
"9127937J9","Bill","13-Week","03/15/1982","03/18/1982","06/17/1982",""
"912794BL7","Bill","26-Week","03/15/1982","03/18/1982","09/16/1982",""
"912794AT1","Bill","13-Week","03/08/1982","03/11/1982","06/10/1982",""
"912794AY0","Bill","26-Week","03/08/1982","03/11/1982","09/09/1982",""
"912794AS3","Bill","13-Week","03/01/1982","03/04/1982","06/03/1982",""
"912794BK9","Bill","26-Week","03/01/1982","03/04/1982","09/02/1982",""
"912827MY5","Note","5-Year 2-Month","02/24/1982","03/03/1982","05/15/1987",""
"912794AR5","Bill","13-Week","02/22/1982","02/25/1982","05/27/1982",""
"912794BJ2","Bill","26-Week","02/22/1982","02/25/1982","08/26/1982",""
"912794BZ6","Bill","52-Week","02/18/1982","02/25/1982","02/24/1983",""
"912827MX7","Note","2-Year","02/17/1982","03/01/1982","02/29/1984",""
"9127937H3","Bill","13-Week","02/16/1982","02/18/1982","05/20/1982",""
"912794BH6","Bill","26-Week","02/16/1982","02/18/1982","08/19/1982",""
"912794AQ7","Bill","13-Week","02/08/1982","02/11/1982","05/13/1982",""
"912794AX2","Bill","26-Week","02/08/1982","02/11/1982","08/12/1982",""
"912810CY2","Bond","29-Year 9-Month","02/04/1982","02/16/1982","11/15/2011",""
"912827MW9","Note","10-Year","02/03/1982","02/16/1982","02/15/1992",""
"912827MV1","Note","3-Year","02/02/1982","02/16/1982","02/15/1985",""
"912794AP9","Bill","13-Week","02/01/1982","02/04/1982","05/06/1982",""
"912794BG8","Bill","26-Week","02/01/1982","02/04/1982","08/05/1982",""
"912794AN4","Bill","13-Week","01/25/1982","01/28/1982","04/29/1982",""
"912794BF0","Bill","26-Week","01/25/1982","01/28/1982","07/29/1982",""
"912794BY9","Bill","52-Week","01/21/1982","01/28/1982","01/27/1983",""
"912827MU3","Note","2-Year","01/20/1982","02/01/1982","01/31/1984",""
"9127937G5","Bill","13-Week","01/18/1982","01/21/1982","04/22/1982",""
"912794BE3","Bill","26-Week","01/18/1982","01/21/1982","07/22/1982",""
"912794AM6","Bill","13-Week","01/11/1982","01/14/1982","04/15/1982",""
"912794AW4","Bill","26-Week","01/11/1982","01/14/1982","07/15/1982",""
"912827MT6","Note","7-Year","01/06/1982","01/13/1982","01/15/1989",""
"912794AL8","Bill","13-Week","01/04/1982","01/07/1982","04/08/1982",""
"912794BD5","Bill","26-Week","01/04/1982","01/07/1982","07/08/1982",""
"912810CZ9","Bond","20-Year 1-Month","12/30/1981","01/06/1982","02/15/2002",""
"9127937J9","Bill","163-Day","12/29/1981","01/05/1982","06/17/1982",""
"912794AK0","Bill","13-Week","12/28/1981","12/31/1981","04/01/1982",""
"912794AV6","Bill","26-Week","12/28/1981","12/31/1981","07/01/1982",""
"912794BC7","Bill","52-Week","12/23/1981","12/31/1981","12/30/1982",""
"912827MS8","Note","4-Year","12/22/1981","12/31/1981","12/31/1985",""
"9127938H2","Bill","13-Week","12/21/1981","12/24/1981","03/25/1982",""
"912794AU8","Bill","26-Week","12/21/1981","12/24/1981","06/24/1982",""
"912827MR0","Note","2-Year","12/16/1981","12/31/1981","12/31/1983",""
"912794AJ3","Bill","13-Week","12/14/1981","12/17/1981","03/18/1982",""
"9127937J9","Bill","26-Week","12/14/1981","12/17/1981","06/17/1982",""
"912794AH7","Bill","13-Week","12/07/1981","12/10/1981","03/11/1982",""
"912794AT1","Bill","26-Week","12/07/1981","12/10/1981","06/10/1982",""
"912794AC8","Bill","45-Day","12/01/1981","12/07/1981","01/21/1982",""
"9127937G5","Bill","136-Day","12/01/1981","12/07/1981","04/22/1982",""
"912794AG9","Bill","13-Week","11/30/1981","12/03/1981","03/04/1982",""
"912794AS3","Bill","26-Week","11/30/1981","12/03/1981","06/03/1982",""
"912794BB9","Bill","52-Week","11/25/1981","12/03/1981","12/02/1982",""
"912827MQ2","Note","5-Year 2-Month","11/24/1981","12/02/1981","02/15/1987",""
"9127938G4","Bill","13-Week","11/23/1981","11/27/1981","02/25/1982",""
"912794AR5","Bill","26-Week","11/23/1981","11/27/1981","05/27/1982",""
"912827MP4","Note","2-Year","11/18/1981","11/30/1981","11/30/1983",""
"912794AF1","Bill","13-Week","11/16/1981","11/19/1981","02/18/1982",""
"9127937H3","Bill","26-Week","11/16/1981","11/19/1981","05/20/1982",""
"912794AE4","Bill","13-Week","11/09/1981","11/12/1981","02/11/1982",""
"912794AQ7","Bill","26-Week","11/09/1981","11/12/1981","05/13/1982",""
"912810CY2","Bond","30-Year","11/05/1981","11/16/1981","11/15/2011",""
"912827MN9","Note","10-Year","11/04/1981","11/16/1981","11/15/1991",""
"912827MM1","Note","3-Year","11/02/1981","11/16/1981","11/15/1984",""
"912794AD6","Bill","13-Week","11/02/1981","11/05/1981","02/04/1982",""
"912794AP9","Bill","26-Week","11/02/1981","11/05/1981","05/06/1982",""
"912794BA1","Bill","52-Week","10/29/1981","11/05/1981","11/04/1982",""
