"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912795FT3","Bill","13-Week","11/13/2000","11/16/2000","02/15/2001","98.437"
"912795GG0","Bill","26-Week","11/13/2000","11/16/2000","05/17/2001","96.931"
"9128276J6","Note","9-Year 9-Month","11/08/2000","11/15/2000","08/15/2010","99.134"
"9128276N7","Note","5-Year","11/07/2000","11/15/2000","11/15/2005","99.486"
"912795FS5","Bill","13-Week","11/06/2000","11/09/2000","02/08/2001","98.428"
"912795GF2","Bill","26-Week","11/06/2000","11/09/2000","05/10/2001","96.914"
"912795FL0","Bill","50-Day","10/31/2000","11/01/2000","12/21/2000","99.114"
"912795FR7","Bill","13-Week","10/30/2000","11/02/2000","02/01/2001","98.438"
"912795GE5","Bill","26-Week","10/30/2000","11/02/2000","05/03/2001","96.929"
"9128273L4","Note","2-Year","10/25/2000","10/31/2000","10/31/2002","99.823"
"912795FQ9","Bill","13-Week","10/23/2000","10/26/2000","01/25/2001","98.443"
"912795GD7","Bill","26-Week","10/23/2000","10/26/2000","04/26/2001","96.941"
"912795FP1","Bill","13-Week","10/16/2000","10/19/2000","01/18/2001","98.463"
"912795GC9","Bill","26-Week","10/16/2000","10/19/2000","04/19/2001","96.972"
"912810FH6","Bond","28-Year 6-Month","10/11/2000","10/16/2000","04/15/2029","103.628"
"912795FN6","Bill","13-Week","10/10/2000","10/12/2000","01/11/2001","98.464"
"912795GB1","Bill","26-Week","10/10/2000","10/12/2000","04/12/2001","96.939"
"912795ES6","Bill","13-Week","10/02/2000","10/05/2000","01/04/2001","98.464"
"912795GA3","Bill","26-Week","10/02/2000","10/05/2000","04/05/2001","96.946"
"9128276L1","Note","2-Year","09/27/2000","10/02/2000","09/30/2002","99.995"
"912795FM8","Bill","13-Week","09/25/2000","09/28/2000","12/28/2000","98.482"
"912795FZ9","Bill","26-Week","09/25/2000","09/28/2000","03/29/2001","96.974"
"912795FL0","Bill","13-Week","09/18/2000","09/21/2000","12/21/2000","98.493"
"912795FY2","Bill","26-Week","09/18/2000","09/21/2000","03/22/2001","97.000"
"912795FK2","Bill","13-Week","09/11/2000","09/14/2000","12/14/2000","98.497"
"912795FX4","Bill","26-Week","09/11/2000","09/14/2000","03/15/2001","96.989"
"912795EJ6","Bill","13-Week","09/05/2000","09/07/2000","12/07/2000","98.467"
"912795FW6","Bill","26-Week","09/05/2000","09/07/2000","03/08/2001","96.952"
"912795GZ8","Bill","14-Day","08/31/2000","09/01/2000","09/15/2000","99.750"
"912795HL8","Bill","52-Week","08/29/2000","08/31/2000","08/30/2001","94.055"
"912795FJ5","Bill","13-Week","08/28/2000","08/31/2000","11/30/2000","98.448"
"912795FV8","Bill","26-Week","08/28/2000","08/31/2000","03/01/2001","96.916"
"9128276K3","Note","2-Year","08/23/2000","08/31/2000","08/31/2002","99.854"
"912795FH9","Bill","13-Week","08/21/2000","08/24/2000","11/24/2000","98.439"
"912795FU0","Bill","26-Week","08/21/2000","08/24/2000","02/22/2001","96.921"
"912795FG1","Bill","13-Week","08/14/2000","08/17/2000","11/16/2000","98.461"
"912795FT3","Bill","26-Week","08/14/2000","08/17/2000","02/15/2001","96.929"
"912795FA4","Bill","37-Day","08/14/2000","08/15/2000","09/21/2000","99.347"
