"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"91282CHW4","Note","7-Year","08/29/2023","08/31/2023","08/31/2030","99.477286"
"912796ZD4","Bill","13-Week","08/28/2023","08/31/2023","11/30/2023","98.650167"
"912797GP6","Bill","26-Week","08/28/2023","08/31/2023","02/29/2024","97.295278"
"91282CHV6","Note","2-Year","08/28/2023","08/31/2023","08/31/2025","99.954869"
"91282CHX2","Note","5-Year","08/28/2023","08/31/2023","08/31/2028","99.888884"
"912810TP3","Bond","29-Year 6-Month","08/24/2023","08/31/2023","02/15/2053","91.890055"
"912797GU5","Bill","4-Week","08/24/2023","08/29/2023","09/26/2023","99.588944"
"912797HC4","Bill","8-Week","08/24/2023","08/29/2023","10/24/2023","99.177111"
"912810TU2","Bond","20-Year","08/23/2023","08/31/2023","08/15/2043","98.374204"
"912797HW0","Bill","17-Week","08/23/2023","08/29/2023","12/26/2023","98.243097"
"91282CHS3","Note","1-Year 11-Month","08/23/2023","08/25/2023","07/31/2025","99.922256"
"912796YJ2","Bill","42-Day","08/22/2023","08/24/2023","10/05/2023","99.384000"
"912797FL6","Bill","13-Week","08/21/2023","08/24/2023","11/24/2023","98.645556"
"912796Z28","Bill","26-Week","08/21/2023","08/24/2023","02/22/2024","97.323083"
"912797GJ0","Bill","7-Day","08/17/2023","08/22/2023","08/29/2023","99.898500"
"912797GT8","Bill","4-Week","08/17/2023","08/22/2023","09/19/2023","99.589333"
"912797HB6","Bill","8-Week","08/17/2023","08/22/2023","10/17/2023","99.178667"
"912797HV2","Bill","17-Week","08/16/2023","08/22/2023","12/19/2023","98.246403"
"912796CS6","Bill","42-Day","08/15/2023","08/17/2023","09/28/2023","99.383417"
"912797FK8","Bill","13-Week","08/14/2023","08/17/2023","11/16/2023","98.661542"
"912797GN1","Bill","26-Week","08/14/2023","08/17/2023","02/15/2024","97.325611"
"912797GS0","Bill","4-Week","08/10/2023","08/15/2023","09/12/2023","99.589333"
"912797HA8","Bill","8-Week","08/10/2023","08/15/2023","10/10/2023","99.178667"
"912810TT5","Bond","30-Year","08/10/2023","08/15/2023","08/15/2053","98.912672"
"912797HU4","Bill","17-Week","08/09/2023","08/15/2023","12/12/2023","98.244750"
"91282CHT1","Note","10-Year","08/09/2023","08/15/2023","08/15/2033","98.986162"
"91282CHU8","Note","3-Year","08/08/2023","08/15/2023","08/15/2026","99.936014"
"912796CR8","Bill","42-Day","08/08/2023","08/10/2023","09/21/2023","99.384583"
"912797GK7","Bill","52-Week","08/08/2023","08/10/2023","08/08/2024","94.883778"
"912797FJ1","Bill","13-Week","08/07/2023","08/10/2023","11/09/2023","98.662806"
"912797GM3","Bill","26-Week","08/07/2023","08/10/2023","02/08/2024","97.338250"
"912797GR2","Bill","4-Week","08/03/2023","08/08/2023","09/05/2023","99.589722"
"912797GV3","Bill","8-Week","08/03/2023","08/08/2023","10/03/2023","99.177889"
"912797HN0","Bill","17-Week","08/02/2023","08/08/2023","12/05/2023","98.248056"
"912796CQ0","Bill","42-Day","08/01/2023","08/03/2023","09/14/2023","99.384000"
"912796YT0","Bill","13-Week","07/31/2023","08/03/2023","11/02/2023","98.665333"
"912797GE1","Bill","26-Week","07/31/2023","08/03/2023","02/01/2024","97.335722"
"912797GJ0","Bill","4-Week","07/27/2023","08/01/2023","08/29/2023","99.589722"
"912797GU5","Bill","8-Week","07/27/2023","08/01/2023","09/26/2023","99.177889"
"91282CHR5","Note","7-Year","07/27/2023","07/31/2023","07/31/2030","99.474987"
"912797HM2","Bill","17-Week","07/26/2023","08/01/2023","11/28/2023","98.248056"
"91282CHS3","Note","2-Year","07/26/2023","07/31/2023","07/31/2025","100.000000"
"91282CHQ7","Note","5-Year","07/25/2023","07/31/2023","07/31/2028","99.798788"
"912796YH6","Bill","42-Day","07/25/2023","07/27/2023","09/07/2023","99.384583"
"91282CHN4","Note","2-Year","07/24/2023","07/31/2023","07/31/2025","99.862395"
"912797FC6","Bill","13-Week","07/24/2023","07/27/2023","10/26/2023","98.667861"
"912796ZY8","Bill","26-Week","07/24/2023","07/27/2023","01/25/2024","97.335722"
"91282CHP9","Note","10-Year","07/20/2023","07/31/2023","07/15/2033","99.021857"
"912797GH4","Bill","4-Week","07/20/2023","07/25/2023","08/22/2023","99.591278"
"912797GT8","Bill","8-Week","07/20/2023","07/25/2023","09/19/2023","99.182556"
"912810TS7","Bond","19-Year 10-Month","07/19/2023","07/31/2023","05/15/2043","97.810388"
"912797HL4","Bill","17-Week","07/19/2023","07/25/2023","11/21/2023","98.257972"
"912796Z51","Bill","42-Day","07/18/2023","07/20/2023","08/31/2023","99.388667"
"912797FB8","Bill","13-Week","07/17/2023","07/20/2023","10/19/2023","98.672917"
"912797GD3","Bill","26-Week","07/17/2023","07/20/2023","01/18/2024","97.345833"
"912797GG6","Bill","4-Week","07/13/2023","07/18/2023","08/15/2023","99.594778"
"912797GS0","Bill","8-Week","07/13/2023","07/18/2023","09/12/2023","99.186444"
"912810TR9","Bond","29-Year 10-Month","07/13/2023","07/17/2023","05/15/2053","94.999360"
"912797HK6","Bill","17-Week","07/12/2023","07/18/2023","11/14/2023","98.261278"
"91282CHC8","Note","9-Year 10-Month","07/12/2023","07/17/2023","05/15/2033","96.080353"
"91282CHM6","Note","3-Year","07/11/2023","07/17/2023","07/15/2026","99.905249"
"912796Z44","Bill","42-Day","07/11/2023","07/13/2023","08/24/2023","99.392167"
"912797GB7","Bill","52-Week","07/11/2023","07/13/2023","07/11/2024","94.813000"
"912797FA0","Bill","13-Week","07/10/2023","07/13/2023","10/12/2023","98.672917"
"912797GC5","Bill","26-Week","07/10/2023","07/13/2023","01/11/2024","97.335722"
"912797GF8","Bill","4-Week","07/06/2023","07/11/2023","08/08/2023","99.599444"
"912797GR2","Bill","8-Week","07/06/2023","07/11/2023","09/05/2023","99.191111"
"912797HJ9","Bill","17-Week","07/05/2023","07/11/2023","11/07/2023","98.264583"
"912796Z36","Bill","42-Day","07/03/2023","07/06/2023","08/17/2023","99.396833"
"912796YJ2","Bill","13-Week","07/03/2023","07/06/2023","10/05/2023","98.677972"
"912797FW2","Bill","26-Week","07/03/2023","07/06/2023","01/04/2024","97.340778"
"912797GA9","Bill","4-Week","06/29/2023","07/05/2023","08/01/2023","99.618625"
"912797GJ0","Bill","8-Week","06/29/2023","07/05/2023","08/29/2023","99.207083"
"912797HD2","Bill","17-Week","06/28/2023","07/05/2023","10/31/2023","98.287361"
"91282CGY1","Note","1-Year 10-Month","06/28/2023","06/30/2023","04/30/2025","100.057371"
