"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794YQ1","Bill","13-Week","02/24/1992","02/27/1992","05/28/1992",""
"912794YX6","Bill","26-Week","02/24/1992","02/27/1992","08/27/1992",""
"912794YP3","Bill","13-Week","02/18/1992","02/20/1992","05/21/1992",""
"912794ZH0","Bill","26-Week","02/18/1992","02/20/1992","08/20/1992",""
"912810EL8","Bond","29-Year 9-Month","02/13/1992","02/18/1992","11/15/2021",""
"912827D25","Note","9-Year 9-Month","02/12/1992","02/18/1992","11/15/2001",""
"912827E24","Note","3-Year","02/11/1992","02/18/1992","02/15/1995",""
"912794YN8","Bill","13-Week","02/10/1992","02/13/1992","05/14/1992",""
"912794ZG2","Bill","26-Week","02/10/1992","02/13/1992","08/13/1992",""
"912794A61","Bill","52-Week","02/06/1992","02/13/1992","02/11/1993",""
"912794YM0","Bill","13-Week","02/03/1992","02/06/1992","05/07/1992",""
"912794ZF4","Bill","26-Week","02/03/1992","02/06/1992","08/06/1992",""
"912794YL2","Bill","13-Week","01/27/1992","01/30/1992","04/30/1992",""
"912794YW8","Bill","26-Week","01/27/1992","01/30/1992","07/30/1992",""
"912827D90","Note","5-Year","01/23/1992","01/31/1992","01/31/1997",""
"912827D82","Note","2-Year","01/22/1992","01/31/1992","01/31/1994",""
"912794YK4","Bill","13-Week","01/21/1992","01/23/1992","04/23/1992",""
"912794ZE7","Bill","26-Week","01/21/1992","01/23/1992","07/23/1992",""
"912794YJ7","Bill","13-Week","01/13/1992","01/16/1992","04/16/1992",""
"912794ZD9","Bill","26-Week","01/13/1992","01/16/1992","07/16/1992",""
"912794ZZ0","Bill","52-Week","01/09/1992","01/16/1992","01/14/1993",""
"912827D74","Note","7-Year","01/08/1992","01/15/1992","01/15/1999",""
"912794YH1","Bill","13-Week","01/06/1992","01/09/1992","04/09/1992",""
"912794ZC1","Bill","26-Week","01/06/1992","01/09/1992","07/09/1992",""
"912794YG3","Bill","13-Week","12/30/1991","01/02/1992","04/02/1992",""
"912794YV0","Bill","26-Week","12/30/1991","01/02/1992","07/02/1992",""
"912794YF5","Bill","13-Week","12/23/1991","12/26/1991","03/26/1992",""
"912794YU2","Bill","26-Week","12/23/1991","12/26/1991","06/25/1992",""
"912827D66","Note","5-Year","12/19/1991","12/31/1991","12/31/1996",""
"912827D58","Note","2-Year","12/18/1991","12/31/1991","12/31/1993",""
"912794YE8","Bill","13-Week","12/16/1991","12/19/1991","03/19/1992",""
"912794YT5","Bill","26-Week","12/16/1991","12/19/1991","06/18/1992",""
"912794ZB3","Bill","52-Week","12/12/1991","12/19/1991","12/17/1992",""
"912794YD0","Bill","13-Week","12/09/1991","12/12/1991","03/12/1992",""
"912794YS7","Bill","26-Week","12/09/1991","12/12/1991","06/11/1992",""
"912794YC2","Bill","13-Week","12/02/1991","12/05/1991","03/05/1992",""
"912794YR9","Bill","26-Week","12/02/1991","12/05/1991","06/04/1992",""
"912827D41","Note","5-Year","11/26/1991","12/02/1991","11/30/1996",""
"912827D33","Note","2-Year","11/25/1991","12/02/1991","11/30/1993",""
"912794YB4","Bill","13-Week","11/25/1991","11/29/1991","02/27/1992",""
"912794YQ1","Bill","26-Week","11/25/1991","11/29/1991","05/28/1992",""
"912794YA6","Bill","13-Week","11/18/1991","11/21/1991","02/20/1992",""
"912794YP3","Bill","26-Week","11/18/1991","11/21/1991","05/21/1992",""
"912794ZA5","Bill","52-Week","11/14/1991","11/21/1991","11/19/1992",""
"912794XZ2","Bill","13-Week","11/12/1991","11/14/1991","02/13/1992",""
"912794YN8","Bill","26-Week","11/12/1991","11/14/1991","05/14/1992",""
"912810EL8","Bond","30-Year","11/07/1991","11/15/1991","11/15/2021",""
"912827D25","Note","10-Year","11/06/1991","11/15/1991","11/15/2001",""
"912827C91","Note","3-Year","11/05/1991","11/15/1991","11/15/1994",""
"912794XY5","Bill","13-Week","11/04/1991","11/07/1991","02/06/1992",""
"912794YM0","Bill","26-Week","11/04/1991","11/07/1991","05/07/1992",""
"912794XX7","Bill","13-Week","10/28/1991","10/31/1991","01/30/1992",""
"912794YL2","Bill","26-Week","10/28/1991","10/31/1991","04/30/1992",""
"912827C83","Note","5-Year","10/24/1991","10/31/1991","10/31/1996",""
"912827C75","Note","2-Year","10/23/1991","10/31/1991","10/31/1993",""
"912794XW9","Bill","13-Week","10/21/1991","10/24/1991","01/23/1992",""
"912794YK4","Bill","26-Week","10/21/1991","10/24/1991","04/23/1992",""
"912794YZ1","Bill","52-Week","10/17/1991","10/24/1991","10/22/1992",""
"912794XV1","Bill","13-Week","10/15/1991","10/17/1991","01/16/1992",""
"912794YJ7","Bill","26-Week","10/15/1991","10/17/1991","04/16/1992",""
"912827C67","Note","7-Year","10/09/1991","10/15/1991","10/15/1998",""
"912794XU3","Bill","13-Week","10/07/1991","10/10/1991","01/09/1992",""
"912794YH1","Bill","26-Week","10/07/1991","10/10/1991","04/09/1992",""
"912794XT6","Bill","13-Week","09/30/1991","10/03/1991","01/02/1992",""
"912794YG3","Bill","26-Week","09/30/1991","10/03/1991","04/02/1992",""
"912827C59","Note","5-Year","09/25/1991","09/30/1991","09/30/1996",""
"912827C42","Note","2-Year","09/24/1991","09/30/1991","09/30/1993",""
"912794XS8","Bill","13-Week","09/23/1991","09/26/1991","12/26/1991",""
"912794YF5","Bill","26-Week","09/23/1991","09/26/1991","03/26/1992",""
"912794YY4","Bill","52-Week","09/19/1991","09/26/1991","09/24/1992",""
"912794WX8","Bill","13-Week","09/16/1991","09/19/1991","12/19/1991",""
"912794YE8","Bill","26-Week","09/16/1991","09/19/1991","03/19/1992",""
"912794XR0","Bill","13-Week","09/09/1991","09/12/1991","12/12/1991",""
"912794YD0","Bill","26-Week","09/09/1991","09/12/1991","03/12/1992",""
"912794XQ2","Bill","13-Week","09/03/1991","09/05/1991","12/05/1991",""
"912794YC2","Bill","26-Week","09/03/1991","09/05/1991","03/05/1992",""
"912794XG4","Bill","16-Day","08/29/1991","09/03/1991","09/19/1991",""
"912827C34","Note","5-Year","08/28/1991","09/03/1991","08/31/1996",""
"912827C26","Note","2-Year","08/27/1991","09/03/1991","08/31/1993",""
"912794XP4","Bill","13-Week","08/26/1991","08/29/1991","11/29/1991",""
"912794YB4","Bill","26-Week","08/26/1991","08/29/1991","02/27/1992",""
"912794YX6","Bill","52-Week","08/22/1991","08/29/1991","08/27/1992",""
"912794WW0","Bill","13-Week","08/19/1991","08/22/1991","11/21/1991",""
"912794YA6","Bill","26-Week","08/19/1991","08/22/1991","02/20/1992",""
"912794XN9","Bill","13-Week","08/12/1991","08/15/1991","11/14/1991",""
"912794XZ2","Bill","26-Week","08/12/1991","08/15/1991","02/13/1992",""
"912810EK0","Bond","30-Year","08/08/1991","08/15/1991","08/15/2021",""
"912827B92","Note","10-Year","08/07/1991","08/15/1991","08/15/2001",""
"912827B84","Note","3-Year","08/06/1991","08/15/1991","08/15/1994",""
"912794XM1","Bill","13-Week","08/05/1991","08/08/1991","11/07/1991",""
"912794XY5","Bill","26-Week","08/05/1991","08/08/1991","02/06/1992",""
"912794XL3","Bill","13-Week","07/29/1991","08/01/1991","10/31/1991",""
"912794XX7","Bill","26-Week","07/29/1991","08/01/1991","01/30/1992",""
"912794YW8","Bill","52-Week","07/25/1991","08/01/1991","07/30/1992",""
"912827B76","Note","5-Year","07/24/1991","07/31/1991","07/31/1996",""
"912827B68","Note","2-Year","07/23/1991","07/31/1991","07/31/1993",""
"912794WV2","Bill","13-Week","07/22/1991","07/25/1991","10/24/1991",""
"912794XW9","Bill","26-Week","07/22/1991","07/25/1991","01/23/1992",""
"912794XK5","Bill","13-Week","07/15/1991","07/18/1991","10/17/1991",""
"912794XV1","Bill","26-Week","07/15/1991","07/18/1991","01/16/1992",""
