"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"9127937M2","Bill","26-Week","01/19/1981","01/22/1981","07/23/1981",""
"9127936N1","Bill","13-Week","01/12/1981","01/15/1981","04/16/1981",""
"9127936W1","Bill","26-Week","01/12/1981","01/15/1981","07/16/1981",""
"912810CT3","Bond","20-Year 1-Month","01/06/1981","01/12/1981","02/15/2001",""
"9127936M3","Bill","13-Week","01/05/1981","01/08/1981","04/09/1981",""
"9127937L4","Bill","26-Week","01/05/1981","01/08/1981","07/09/1981",""
"9127936D3","Bill","16-Day","12/30/1980","01/06/1981","01/22/1981",""
"912827LL4","Note","7-Year","12/30/1980","01/05/1981","01/15/1988",""
"9127936L5","Bill","13-Week","12/29/1980","01/02/1981","04/02/1981",""
"9127937K6","Bill","26-Week","12/29/1980","01/02/1981","07/02/1981",""
"9127938F6","Bill","52-Week","12/23/1980","01/02/1981","12/31/1981",""
"9127936P6","Bill","120-Day","12/23/1980","12/31/1980","04/30/1981",""
"9127935Z5","Bill","13-Week","12/22/1980","12/26/1980","03/26/1981",""
"9127936V3","Bill","26-Week","12/22/1980","12/26/1980","06/25/1981",""
"912827LK6","Note","4-Year","12/18/1980","12/31/1980","12/31/1984",""
"912827LJ9","Note","2-Year","12/16/1980","12/31/1980","12/31/1982",""
"9127936K7","Bill","13-Week","12/15/1980","12/18/1980","03/19/1981",""
"9127936C5","Bill","26-Week","12/15/1980","12/18/1980","06/18/1981",""
"9127936J0","Bill","13-Week","12/08/1980","12/11/1980","03/12/1981",""
"9127936U5","Bill","26-Week","12/08/1980","12/11/1980","06/11/1981",""
"912827LH3","Note","5-Year 2-Month","12/03/1980","12/08/1980","02/15/1986",""
"9127936A9","Bill","141-Day","12/02/1980","12/03/1980","04/23/1981",""
"9127936H4","Bill","13-Week","12/01/1980","12/04/1980","03/05/1981",""
"9127936T8","Bill","26-Week","12/01/1980","12/04/1980","06/04/1981",""
"9127937B6","Bill","52-Week","11/26/1980","12/04/1980","12/03/1981",""
"912827LG5","Note","2-Year","11/25/1980","12/01/1980","11/30/1982",""
"9127935Y8","Bill","13-Week","11/24/1980","11/28/1980","02/26/1981",""
"9127936S0","Bill","26-Week","11/24/1980","11/28/1980","05/28/1981",""
"9127936G6","Bill","13-Week","11/17/1980","11/20/1980","02/19/1981",""
"9127936B7","Bill","26-Week","11/17/1980","11/20/1980","05/21/1981",""
"9127937E0","Bill","44-Day","11/12/1980","11/17/1980","12/31/1980",""
"9127936F8","Bill","13-Week","11/10/1980","11/13/1980","02/12/1981",""
"9127936R2","Bill","26-Week","11/10/1980","11/13/1980","05/14/1981",""
"912810CS5","Bond","30-Year","11/07/1980","11/17/1980","11/15/2010",""
"912827LF7","Note","10-Year","11/06/1980","11/17/1980","11/15/1990",""
"912827LE0","Note","3-Year 6-Month","11/05/1980","11/17/1980","05/15/1984",""
"9127936E1","Bill","13-Week","11/03/1980","11/06/1980","02/05/1981",""
"9127936Q4","Bill","26-Week","11/03/1980","11/06/1980","05/07/1981",""
"9127937A8","Bill","52-Week","10/30/1980","11/06/1980","11/05/1981",""
"9127935X0","Bill","13-Week","10/27/1980","10/30/1980","01/29/1981",""
"9127936P6","Bill","26-Week","10/27/1980","10/30/1980","04/30/1981",""
"912827LD2","Note","2-Year","10/22/1980","10/31/1980","10/31/1982",""
"9127936D3","Bill","13-Week","10/20/1980","10/23/1980","01/22/1981",""
"9127936A9","Bill","26-Week","10/20/1980","10/23/1980","04/23/1981",""
"9127935V4","Bill","13-Week","10/10/1980","10/16/1980","01/15/1981",""
"9127936N1","Bill","26-Week","10/10/1980","10/16/1980","04/16/1981",""
