"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794L44","Bill","26-Week","12/27/1993","12/30/1993","06/30/1994",""
"912827N40","Note","5-Year","12/22/1993","12/31/1993","12/31/1998","99.717"
"912827N32","Note","2-Year","12/21/1993","12/31/1993","12/31/1995","99.943"
"912794J62","Bill","13-Week","12/20/1993","12/23/1993","03/24/1994",""
"912794L36","Bill","26-Week","12/20/1993","12/23/1993","06/23/1994",""
"912794J54","Bill","13-Week","12/13/1993","12/16/1993","03/17/1994",""
"912794L28","Bill","26-Week","12/13/1993","12/16/1993","06/16/1994",""
"912794M27","Bill","52-Week","12/09/1993","12/16/1993","12/15/1994",""
"912794J47","Bill","13-Week","12/06/1993","12/09/1993","03/10/1994",""
"912794K94","Bill","26-Week","12/06/1993","12/09/1993","06/09/1994",""
"912794E67","Bill","10-Day","12/02/1993","12/06/1993","12/16/1993",""
"912794J39","Bill","13-Week","11/29/1993","12/02/1993","03/03/1994",""
"912794K86","Bill","26-Week","11/29/1993","12/02/1993","06/02/1994",""
"912827N24","Note","5-Year","11/23/1993","11/30/1993","11/30/1998","99.673"
"912827M90","Note","2-Year","11/22/1993","11/30/1993","11/30/1995","99.962"
"912794J21","Bill","13-Week","11/22/1993","11/26/1993","02/24/1994",""
"912794K78","Bill","26-Week","11/22/1993","11/26/1993","05/26/1994",""
"912794L93","Bill","52-Week","11/16/1993","11/18/1993","11/17/1994",""
"912794H98","Bill","13-Week","11/15/1993","11/18/1993","02/17/1994",""
"912794K60","Bill","26-Week","11/15/1993","11/18/1993","05/19/1994",""
"912827L83","Note","9-Year 9-Month","11/10/1993","11/15/1993","08/15/2003",""
"912794H56","Bill","66-Day","11/09/1993","11/15/1993","01/20/1994",""
"912827M74","Note","3-Year","11/09/1993","11/15/1993","11/15/1996",""
"912794H80","Bill","13-Week","11/08/1993","11/12/1993","02/10/1994",""
"912794K52","Bill","26-Week","11/08/1993","11/12/1993","05/12/1994",""
"912794E67","Bill","36-Day","11/04/1993","11/10/1993","12/16/1993",""
"912794H72","Bill","13-Week","11/01/1993","11/04/1993","02/03/1994",""
"912794K45","Bill","26-Week","11/01/1993","11/04/1993","05/05/1994",""
"912827M66","Note","5-Year","10/27/1993","11/01/1993","10/31/1998","99.736"
"912827M58","Note","2-Year","10/26/1993","11/01/1993","10/31/1995","99.876"
"912794H64","Bill","13-Week","10/25/1993","10/28/1993","01/27/1994",""
