"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794RU0","Bill","13-Week","01/17/1989","01/19/1989","04/20/1989",""
"912794SR6","Bill","26-Week","01/17/1989","01/19/1989","07/20/1989",""
"912794TM6","Bill","52-Week","01/12/1989","01/19/1989","01/18/1990",""
"912827XB3","Note","7-Year","01/11/1989","01/17/1989","01/15/1996",""
"912794RS5","Bill","13-Week","01/09/1989","01/12/1989","04/13/1989",""
"912794SQ8","Bill","26-Week","01/09/1989","01/12/1989","07/13/1989",""
"912794RR7","Bill","13-Week","01/03/1989","01/05/1989","04/06/1989",""
"912794SH8","Bill","26-Week","01/03/1989","01/05/1989","07/06/1989",""
"912827XA5","Note","4-Year","12/29/1988","01/03/1989","12/31/1992",""
"912827WZ1","Note","2-Year","12/28/1988","01/03/1989","12/31/1990",""
"912794RQ9","Bill","13-Week","12/27/1988","12/29/1988","03/30/1989",""
"912794SG0","Bill","26-Week","12/27/1988","12/29/1988","06/29/1989",""
"912794RP1","Bill","13-Week","12/19/1988","12/22/1988","03/23/1989",""
"912794SF2","Bill","26-Week","12/19/1988","12/22/1988","06/22/1989",""
"912794SP0","Bill","52-Week","12/15/1988","12/22/1988","12/21/1989",""
"912794RM8","Bill","13-Week","12/12/1988","12/15/1988","03/16/1989",""
"912794SE5","Bill","26-Week","12/12/1988","12/15/1988","06/15/1989",""
"912794RL0","Bill","13-Week","12/05/1988","12/08/1988","03/09/1989",""
"912794SC9","Bill","26-Week","12/05/1988","12/08/1988","06/08/1989",""
"912794RK2","Bill","13-Week","11/28/1988","12/01/1988","03/02/1989",""
"912794SB1","Bill","26-Week","11/28/1988","12/01/1988","06/01/1989",""
"912827WY4","Note","5-Year 2-Month","11/23/1988","12/01/1988","02/15/1994",""
"912827WX6","Note","2-Year","11/22/1988","11/30/1988","11/30/1990",""
"912794RJ5","Bill","13-Week","11/21/1988","11/25/1988","02/23/1989",""
"912794SA3","Bill","26-Week","11/21/1988","11/25/1988","05/25/1989",""
"912794SN5","Bill","52-Week","11/17/1988","11/25/1988","11/24/1989",""
"912810EB0","Bond","30-Year","11/17/1988","11/22/1988","11/15/2018",""
"912794RG1","Bill","13-Week","11/14/1988","11/17/1988","02/16/1989",""
"912794RZ9","Bill","26-Week","11/14/1988","11/17/1988","05/18/1989",""
"912794QD9","Bill","37-Day","11/10/1988","11/15/1988","12/22/1988",""
"912827WW8","Note","10-Year","11/09/1988","11/15/1988","11/15/1998",""
"912827WV0","Note","3-Year","11/08/1988","11/15/1988","11/15/1991",""
"912794RF3","Bill","13-Week","11/07/1988","11/10/1988","02/09/1989",""
"912794RX4","Bill","26-Week","11/07/1988","11/10/1988","05/11/1989",""
"912794RE6","Bill","13-Week","10/31/1988","11/03/1988","02/02/1989",""
"912794RW6","Bill","26-Week","10/31/1988","11/03/1988","05/04/1989",""
"912827WU2","Note","2-Year","10/26/1988","10/31/1988","10/31/1990",""
"912794RD8","Bill","13-Week","10/24/1988","10/27/1988","01/26/1989",""
"912794RV8","Bill","26-Week","10/24/1988","10/27/1988","04/27/1989",""
"912794SM7","Bill","52-Week","10/20/1988","10/27/1988","10/26/1989",""
"912794RB2","Bill","13-Week","10/17/1988","10/20/1988","01/19/1989",""
"912794RU0","Bill","26-Week","10/17/1988","10/20/1988","04/20/1989",""
"912827WT5","Note","7-Year","10/12/1988","10/17/1988","10/15/1995",""
"912794RA4","Bill","13-Week","10/11/1988","10/13/1988","01/12/1989",""
"912794RS5","Bill","26-Week","10/11/1988","10/13/1988","04/13/1989",""
"912794QZ0","Bill","13-Week","10/03/1988","10/06/1988","01/05/1989",""
"912794RR7","Bill","26-Week","10/03/1988","10/06/1988","04/06/1989",""
"912827WS7","Note","4-Year","09/28/1988","09/30/1988","09/30/1992",""
"912827WR9","Note","2-Year","09/27/1988","09/30/1988","09/30/1990",""
"912794QY3","Bill","13-Week","09/26/1988","09/29/1988","12/29/1988",""
"912794RQ9","Bill","26-Week","09/26/1988","09/29/1988","03/30/1989",""
"912794SL9","Bill","52-Week","09/22/1988","09/29/1988","09/28/1989",""
"912794QD9","Bill","13-Week","09/19/1988","09/22/1988","12/22/1988",""
"912794RP1","Bill","26-Week","09/19/1988","09/22/1988","03/23/1989",""
"912794QX5","Bill","13-Week","09/12/1988","09/15/1988","12/15/1988",""
"912794RM8","Bill","26-Week","09/12/1988","09/15/1988","03/16/1989",""
"912794QW7","Bill","13-Week","09/06/1988","09/08/1988","12/08/1988",""
"912794RL0","Bill","26-Week","09/06/1988","09/08/1988","03/09/1989",""
"912794QN7","Bill","20-Day","08/30/1988","09/02/1988","09/22/1988",""
"912794QV9","Bill","13-Week","08/29/1988","09/01/1988","12/01/1988",""
"912794RK2","Bill","26-Week","08/29/1988","09/01/1988","03/02/1989",""
"912794SK1","Bill","52-Week","08/25/1988","09/01/1988","08/31/1989",""
"912827WQ1","Note","5-Year 2-Month","08/24/1988","09/01/1988","11/15/1993",""
"912827WP3","Note","2-Year","08/23/1988","08/31/1988","08/31/1990",""
"912794QC1","Bill","13-Week","08/22/1988","08/25/1988","11/25/1988",""
"912794RJ5","Bill","26-Week","08/22/1988","08/25/1988","02/23/1989",""
"912794QU1","Bill","13-Week","08/15/1988","08/18/1988","11/17/1988",""
"912794RG1","Bill","26-Week","08/15/1988","08/18/1988","02/16/1989",""
"912794RU0","Bill","248-Day","08/11/1988","08/15/1988","04/20/1989",""
"912827WN8","Note","10-Year","08/10/1988","08/15/1988","08/15/1998",""
"912827WM0","Note","3-Year","08/09/1988","08/15/1988","08/15/1991",""
"912794QT4","Bill","13-Week","08/08/1988","08/11/1988","11/10/1988",""
"912794RF3","Bill","26-Week","08/08/1988","08/11/1988","02/09/1989",""
"912794QS6","Bill","13-Week","08/01/1988","08/04/1988","11/03/1988",""
"912794RE6","Bill","26-Week","08/01/1988","08/04/1988","02/02/1989",""
"912794SJ4","Bill","52-Week","07/28/1988","08/04/1988","08/03/1989",""
"912827WL2","Note","2-Year","07/27/1988","08/01/1988","07/31/1990",""
"912794QB3","Bill","13-Week","07/25/1988","07/28/1988","10/27/1988",""
"912794RD8","Bill","26-Week","07/25/1988","07/28/1988","01/26/1989",""
"912794QR8","Bill","13-Week","07/18/1988","07/21/1988","10/20/1988",""
"912794RB2","Bill","26-Week","07/18/1988","07/21/1988","01/19/1989",""
"912827WK4","Note","7-Year","07/12/1988","07/15/1988","07/15/1995",""
"912794QQ0","Bill","13-Week","07/11/1988","07/14/1988","10/13/1988",""
"912794RA4","Bill","26-Week","07/11/1988","07/14/1988","01/12/1989",""
"912794QP2","Bill","13-Week","07/05/1988","07/07/1988","10/06/1988",""
"912794QZ0","Bill","26-Week","07/05/1988","07/07/1988","01/05/1989",""
"912794SH8","Bill","52-Week","06/30/1988","07/07/1988","07/06/1989",""
"912794QA5","Bill","13-Week","06/27/1988","06/30/1988","09/29/1988",""
"912794QY3","Bill","26-Week","06/27/1988","06/30/1988","12/29/1988",""
"912827WJ7","Note","4-Year","06/23/1988","06/30/1988","06/30/1992",""
"912827WH1","Note","2-Year","06/22/1988","06/30/1988","06/30/1990",""
"912794QN7","Bill","13-Week","06/20/1988","06/23/1988","09/22/1988",""
"912794QD9","Bill","26-Week","06/20/1988","06/23/1988","12/22/1988",""
"912794QM9","Bill","13-Week","06/13/1988","06/16/1988","09/15/1988",""
"912794QX5","Bill","26-Week","06/13/1988","06/16/1988","12/15/1988",""
"912794QL1","Bill","13-Week","06/06/1988","06/09/1988","09/08/1988",""
"912794QW7","Bill","26-Week","06/06/1988","06/09/1988","12/08/1988",""
"912794SC9","Bill","52-Week","06/02/1988","06/09/1988","06/08/1989",""
"912794PU2","Bill","9-Day","06/01/1988","06/07/1988","06/16/1988",""
"912794PZ1","Bill","13-Week","05/31/1988","06/02/1988","09/01/1988",""
