"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"9127964F3","Bill","119-Day","11/03/2020","11/05/2020","03/04/2021","99.965292"
"9127964W6","Bill","52-Week","11/03/2020","11/05/2020","11/04/2021","99.863500"
"9127963W7","Bill","13-Week","11/02/2020","11/05/2020","02/04/2021","99.975986"
"9127965A3","Bill","26-Week","11/02/2020","11/05/2020","05/06/2021","99.944389"
"9127964U0","Bill","4-Week","10/29/2020","11/03/2020","12/01/2020","99.993778"
"9127965F2","Bill","8-Week","10/29/2020","11/03/2020","12/29/2020","99.986778"
"91282CAU5","Note","7-Year","10/29/2020","11/02/2020","10/31/2027","99.316022"
"912796B81","Bill","105-Day","10/28/2020","11/03/2020","02/16/2021","99.972292"
"912796D71","Bill","154-Day","10/28/2020","11/03/2020","04/06/2021","99.955083"
"91282CAS0","Note","2-Year","10/28/2020","11/02/2020","10/31/2022","100.000000"
"91282CAT8","Note","5-Year","10/28/2020","11/02/2020","10/31/2025","99.604038"
"91282CAR2","Note","2-Year","10/27/2020","11/02/2020","10/31/2022","99.948240"
"9127963J6","Bill","42-Day","10/27/2020","10/29/2020","12/10/2020","99.990667"
"912796XE4","Bill","119-Day","10/27/2020","10/29/2020","02/25/2021","99.966944"
"912796UC1","Bill","13-Week","10/26/2020","10/29/2020","01/28/2021","99.974722"
"9127964Z9","Bill","26-Week","10/26/2020","10/29/2020","04/29/2021","99.944389"
"91282CAQ4","Note","5-Year","10/22/2020","10/30/2020","10/15/2025","107.593657"
"9127964T3","Bill","4-Week","10/22/2020","10/27/2020","11/24/2020","99.993389"
"9127965D7","Bill","8-Week","10/22/2020","10/27/2020","12/22/2020","99.986000"
"912810SQ2","Bond","19-Year 10-Month","10/21/2020","11/02/2020","08/15/2040","95.765607"
"912796B73","Bill","105-Day","10/21/2020","10/27/2020","02/09/2021","99.970833"
"912796D22","Bill","154-Day","10/21/2020","10/27/2020","03/30/2021","99.950806"
"912796TU3","Bill","42-Day","10/20/2020","10/22/2020","12/03/2020","99.989500"
"9127964D8","Bill","119-Day","10/20/2020","10/22/2020","02/18/2021","99.965292"
"9127963V9","Bill","13-Week","10/19/2020","10/22/2020","01/21/2021","99.974722"
"9127962Q1","Bill","26-Week","10/19/2020","10/22/2020","04/22/2021","99.941861"
"9127964S5","Bill","4-Week","10/15/2020","10/20/2020","11/17/2020","99.993000"
"9127965C9","Bill","8-Week","10/15/2020","10/20/2020","12/15/2020","99.985222"
"912796B65","Bill","105-Day","10/14/2020","10/20/2020","02/02/2021","99.969375"
"912796C98","Bill","154-Day","10/14/2020","10/20/2020","03/23/2021","99.948667"
"9127963B3","Bill","43-Day","10/13/2020","10/15/2020","11/27/2020","99.988653"
"9127963U1","Bill","13-Week","10/13/2020","10/15/2020","01/14/2021","99.973458"
"9127964C0","Bill","119-Day","10/13/2020","10/15/2020","02/11/2021","99.963639"
"9127964Y2","Bill","26-Week","10/13/2020","10/15/2020","04/15/2021","99.941861"
"912810SP4","Bond","29-Year 10-Month","10/08/2020","10/15/2020","08/15/2050","95.183187"
"9127964R7","Bill","4-Week","10/08/2020","10/13/2020","11/10/2020","99.993000"
"9127965B1","Bill","8-Week","10/08/2020","10/13/2020","12/08/2020","99.986000"
"91282CAE1","Note","9-Year 10-Month","10/07/2020","10/15/2020","08/15/2030","98.675865"
"912796A82","Bill","105-Day","10/07/2020","10/13/2020","01/26/2021","99.970833"
"912796C80","Bill","154-Day","10/07/2020","10/13/2020","03/16/2021","99.952944"
"91282CAP6","Note","3-Year","10/06/2020","10/15/2020","10/15/2023","99.796687"
"9127963A5","Bill","42-Day","10/06/2020","10/08/2020","11/19/2020","99.989500"
"9127963W7","Bill","119-Day","10/06/2020","10/08/2020","02/04/2021","99.965292"
"9127964V8","Bill","52-Week","10/06/2020","10/08/2020","10/07/2021","99.858444"
"9127963T4","Bill","13-Week","10/05/2020","10/08/2020","01/07/2021","99.975986"
"9127964X4","Bill","26-Week","10/05/2020","10/08/2020","04/08/2021","99.944389"
"9127964Q9","Bill","4-Week","10/01/2020","10/06/2020","11/03/2020","99.993389"
"9127964U0","Bill","8-Week","10/01/2020","10/06/2020","12/01/2020","99.986778"
"912796A74","Bill","105-Day","09/30/2020","10/06/2020","01/19/2021","99.972292"
"912796C72","Bill","154-Day","09/30/2020","10/06/2020","03/09/2021","99.955083"
"9127962Z1","Bill","42-Day","09/29/2020","10/01/2020","11/12/2020","99.990083"
"912796UC1","Bill","119-Day","09/29/2020","10/01/2020","01/28/2021","99.970250"
"912796TY5","Bill","13-Week","09/28/2020","10/01/2020","12/31/2020","99.974722"
"9127964P1","Bill","26-Week","09/28/2020","10/01/2020","04/01/2021","99.946917"
"91282CAL5","Note","7-Year","09/24/2020","09/30/2020","09/30/2027","99.401422"
"9127964K2","Bill","4-Week","09/24/2020","09/29/2020","10/27/2020","99.994167"
"9127964T3","Bill","8-Week","09/24/2020","09/29/2020","11/24/2020","99.986000"
"91282CAM3","Note","5-Year","09/23/2020","09/30/2020","09/30/2025","99.875940"
"912796A66","Bill","105-Day","09/23/2020","09/29/2020","01/12/2021","99.973750"
"912796C23","Bill","154-Day","09/23/2020","09/29/2020","03/02/2021","99.957222"
"91282CAA9","Note","1-Year 10-Month","09/23/2020","09/25/2020","07/31/2022","99.994389"
"91282CAN1","Note","2-Year","09/22/2020","09/30/2020","09/30/2022","99.978037"
"912796TP4","Bill","42-Day","09/22/2020","09/24/2020","11/05/2020","99.990083"
"9127963V9","Bill","119-Day","09/22/2020","09/24/2020","01/21/2021","99.968597"
"9127963L1","Bill","13-Week","09/21/2020","09/24/2020","12/24/2020","99.974722"
"9127962F5","Bill","26-Week","09/21/2020","09/24/2020","03/25/2021","99.946917"
"912828ZZ6","Note","9-Year 10-Month","09/17/2020","09/30/2020","07/15/2030","112.388136"
"9127964J5","Bill","4-Week","09/17/2020","09/22/2020","10/20/2020","99.993778"
"9127964S5","Bill","8-Week","09/17/2020","09/22/2020","11/17/2020","99.985222"
"912796A58","Bill","105-Day","09/16/2020","09/22/2020","01/05/2021","99.970833"
"912796B99","Bill","154-Day","09/16/2020","09/22/2020","02/23/2021","99.952944"
"912810SQ2","Bond","19-Year 11-Month","09/15/2020","09/30/2020","08/15/2040","98.449355"
"9127962T5","Bill","42-Day","09/15/2020","09/17/2020","10/29/2020","99.988917"
"9127963U1","Bill","119-Day","09/15/2020","09/17/2020","01/14/2021","99.963639"
"9127963K3","Bill","13-Week","09/14/2020","09/17/2020","12/17/2020","99.972194"
"9127964N6","Bill","26-Week","09/14/2020","09/17/2020","03/18/2021","99.939333"
"9127964H9","Bill","4-Week","09/10/2020","09/15/2020","10/13/2020","99.993000"
"9127964R7","Bill","8-Week","09/10/2020","09/15/2020","11/10/2020","99.983667"
"912810SP4","Bond","29-Year 11-Month","09/10/2020","09/15/2020","08/15/2050","97.635118"
"9127965F2","Bill","105-Day","09/09/2020","09/15/2020","12/29/2020","99.966458"
"912796B81","Bill","154-Day","09/09/2020","09/15/2020","02/16/2021","99.948667"
"91282CAE1","Note","9-Year 11-Month","09/09/2020","09/15/2020","08/15/2030","99.244492"
"91282CAK7","Note","3-Year","09/08/2020","09/15/2020","09/15/2023","99.865401"
"9127962S7","Bill","42-Day","09/08/2020","09/10/2020","10/22/2020","99.987750"
"9127963J6","Bill","13-Week","09/08/2020","09/10/2020","12/10/2020","99.970931"
"9127963T4","Bill","119-Day","09/08/2020","09/10/2020","01/07/2021","99.960333"
"9127964M8","Bill","26-Week","09/08/2020","09/10/2020","03/11/2021","99.936806"
"9127964L0","Bill","52-Week","09/08/2020","09/10/2020","09/09/2021","99.858444"
"9127964G1","Bill","4-Week","09/03/2020","09/08/2020","10/06/2020","99.993000"
