"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794KB9","Bill","52-Week","04/11/1985","04/18/1985","04/17/1986",""
"912794HJ6","Bill","13-Week","04/08/1985","04/11/1985","07/11/1985",""
"912794JB1","Bill","26-Week","04/08/1985","04/11/1985","10/10/1985",""
"912794HR8","Bill","13-Week","04/01/1985","04/04/1985","07/05/1985",""
"912794HM9","Bill","26-Week","04/01/1985","04/04/1985","10/03/1985",""
"912810DQ8","Bond","20-Year 1-Month","03/28/1985","04/02/1985","05/15/2005",""
"912827SB9","Note","7-Year","03/27/1985","04/02/1985","04/15/1992",""
"912827SA1","Note","4-Year","03/26/1985","04/01/1985","03/31/1989",""
"912794HH0","Bill","13-Week","03/25/1985","03/28/1985","06/27/1985",""
"912794JA3","Bill","26-Week","03/25/1985","03/28/1985","09/26/1985",""
"912827RZ7","Note","2-Year","03/20/1985","04/01/1985","03/31/1987",""
"912794HG2","Bill","13-Week","03/18/1985","03/21/1985","06/20/1985",""
"912794HZ0","Bill","26-Week","03/18/1985","03/21/1985","09/19/1985",""
"912794JX3","Bill","52-Week","03/14/1985","03/21/1985","03/20/1986",""
"912794GM0","Bill","13-Week","03/11/1985","03/14/1985","06/13/1985",""
"912794HY3","Bill","26-Week","03/11/1985","03/14/1985","09/12/1985",""
"912794HF4","Bill","13-Week","03/04/1985","03/07/1985","06/06/1985",""
"912794HL1","Bill","26-Week","03/04/1985","03/07/1985","09/05/1985",""
"912827RY0","Note","5-Year 2-Month","02/26/1985","03/01/1985","05/15/1990",""
"912794HE7","Bill","13-Week","02/25/1985","02/28/1985","05/30/1985",""
"912794HX5","Bill","26-Week","02/25/1985","02/28/1985","08/29/1985",""
"912827RX2","Note","2-Year","02/20/1985","02/28/1985","02/28/1987",""
"912794HD9","Bill","13-Week","02/19/1985","02/21/1985","05/23/1985",""
"912794HW7","Bill","26-Week","02/19/1985","02/21/1985","08/22/1985",""
"912794JT2","Bill","52-Week","02/14/1985","02/21/1985","02/20/1986",""
"912794GL2","Bill","13-Week","02/11/1985","02/14/1985","05/16/1985",""
"912794HV9","Bill","26-Week","02/11/1985","02/14/1985","08/15/1985",""
"912810DP0","Bond","30-Year","02/07/1985","02/15/1985","02/15/2015",""
"912827RW4","Note","10-Year","02/06/1985","02/15/1985","02/15/1995",""
"912827RV6","Note","3-Year","02/05/1985","02/15/1985","02/15/1988",""
"912794HC1","Bill","13-Week","02/04/1985","02/07/1985","05/09/1985",""
"912794HK3","Bill","26-Week","02/04/1985","02/07/1985","08/08/1985",""
"912794HB3","Bill","13-Week","01/28/1985","01/31/1985","05/02/1985",""
"912794HU1","Bill","26-Week","01/28/1985","01/31/1985","08/01/1985",""
"912827RU8","Note","2-Year","01/23/1985","01/31/1985","01/31/1987",""
"912794HA5","Bill","13-Week","01/22/1985","01/24/1985","04/25/1985",""
"912794HT4","Bill","26-Week","01/22/1985","01/24/1985","07/25/1985",""
"912794JP0","Bill","52-Week","01/17/1985","01/24/1985","01/23/1986",""
"912794GK4","Bill","13-Week","01/14/1985","01/17/1985","04/18/1985",""
"912794HS6","Bill","26-Week","01/14/1985","01/17/1985","07/18/1985",""
"912794GZ1","Bill","13-Week","01/07/1985","01/10/1985","04/11/1985",""
"912794HJ6","Bill","26-Week","01/07/1985","01/10/1985","07/11/1985",""
"912810DM7","Bond","19-Year 10-Month","01/03/1985","01/08/1985","11/15/2004",""
"912827RT1","Note","7-Year","01/02/1985","01/04/1985","01/15/1992",""
"912794GY4","Bill","13-Week","12/28/1984","01/03/1985","04/04/1985",""
"912794HR8","Bill","26-Week","12/28/1984","01/03/1985","07/05/1985",""
"912827RS3","Note","4-Year","12/26/1984","12/31/1984","12/31/1988",""
"912794GX6","Bill","13-Week","12/21/1984","12/27/1984","03/28/1985",""
"912794HH0","Bill","26-Week","12/21/1984","12/27/1984","06/27/1985",""
"912794HQ0","Bill","52-Week","12/20/1984","12/27/1984","12/26/1985",""
"912827RR5","Note","2-Year","12/19/1984","12/31/1984","12/31/1986",""
"912794GJ7","Bill","13-Week","12/17/1984","12/20/1984","03/21/1985",""
"912794HG2","Bill","26-Week","12/17/1984","12/20/1984","06/20/1985",""
"912794GW8","Bill","13-Week","12/10/1984","12/13/1984","03/14/1985",""
"912794GM0","Bill","26-Week","12/10/1984","12/13/1984","06/13/1985",""
"912794GV0","Bill","13-Week","12/03/1984","12/06/1984","03/07/1985",""
"912794HF4","Bill","26-Week","12/03/1984","12/06/1984","06/06/1985",""
"912794GF5","Bill","17-Day","11/29/1984","12/03/1984","12/20/1984",""
"912794GQ1","Bill","45-Day","11/29/1984","12/03/1984","01/17/1985",""
"912827RP9","Note","5-Year 2-Month","11/28/1984","12/03/1984","02/15/1990",""
"912827RQ7","Note","5-Year 2-Month","11/28/1984","12/03/1984","02/15/1990",""
"912794HP2","Bill","52-Week","11/27/1984","11/29/1984","11/29/1985",""
"912794GU2","Bill","13-Week","11/26/1984","11/29/1984","02/28/1985",""
"912794HE7","Bill","26-Week","11/26/1984","11/29/1984","05/30/1985",""
"912827RN4","Note","2-Year","11/21/1984","11/30/1984","11/30/1986",""
"912794GH1","Bill","13-Week","11/19/1984","11/23/1984","02/21/1985",""
"912794HD9","Bill","26-Week","11/19/1984","11/23/1984","05/23/1985",""
"912794GT5","Bill","13-Week","11/13/1984","11/15/1984","02/14/1985",""
"912794GL2","Bill","26-Week","11/13/1984","11/15/1984","05/16/1985",""
"912810DN5","Bond","30-Year","11/08/1984","11/15/1984","11/15/2014",""
"912827RM6","Note","10-Year","11/07/1984","11/15/1984","11/15/1994",""
"912827RL8","Note","3-Year","11/05/1984","11/15/1984","11/15/1987",""
"912794GS7","Bill","13-Week","11/05/1984","11/08/1984","02/07/1985",""
"912794HC1","Bill","26-Week","11/05/1984","11/08/1984","05/09/1985",""
"912794GR9","Bill","13-Week","10/29/1984","11/01/1984","01/31/1985",""
"912794HB3","Bill","26-Week","10/29/1984","11/01/1984","05/02/1985",""
"912794HN7","Bill","52-Week","10/25/1984","11/01/1984","10/31/1985",""
"912827RH7","Note","3-Year 11-Month","10/24/1984","10/31/1984","09/30/1988",""
"912827RJ3","Note","3-Year 11-Month","10/24/1984","10/31/1984","09/30/1988",""
"912810DM7","Bond","20-Year 1-Month","10/23/1984","10/30/1984","11/15/2004",""
"912794GG3","Bill","13-Week","10/22/1984","10/25/1984","01/24/1985",""
"912794HA5","Bill","26-Week","10/22/1984","10/25/1984","04/25/1985",""
"912827RK0","Note","2-Year","10/17/1984","10/31/1984","10/31/1986",""
"912827RG9","Note","7-Year","10/16/1984","10/23/1984","10/15/1991",""
"912794GQ1","Bill","13-Week","10/15/1984","10/18/1984","01/17/1985",""
"912794GK4","Bill","26-Week","10/15/1984","10/18/1984","04/18/1985",""
"912794GP3","Bill","13-Week","10/09/1984","10/11/1984","01/10/1985",""
"912794GZ1","Bill","26-Week","10/09/1984","10/11/1984","04/11/1985",""
"912794GN8","Bill","13-Week","10/01/1984","10/04/1984","01/03/1985",""
"912794GY4","Bill","26-Week","10/01/1984","10/04/1984","04/04/1985",""
"912794HM9","Bill","52-Week","09/27/1984","10/04/1984","10/03/1985",""
"912794FL3","Bill","13-Week","09/24/1984","09/27/1984","12/27/1984",""
"912794GX6","Bill","26-Week","09/24/1984","09/27/1984","03/28/1985",""
"912827RF1","Note","2-Year","09/19/1984","10/01/1984","09/30/1986",""
"912794GF5","Bill","13-Week","09/17/1984","09/20/1984","12/20/1984",""
"912794GJ7","Bill","26-Week","09/17/1984","09/20/1984","03/21/1985",""
"912794GE8","Bill","13-Week","09/10/1984","09/13/1984","12/13/1984",""
"912794GW8","Bill","26-Week","09/10/1984","09/13/1984","03/14/1985",""
"912794GD0","Bill","13-Week","09/04/1984","09/06/1984","12/06/1984",""
"912794GV0","Bill","26-Week","09/04/1984","09/06/1984","03/07/1985",""
