"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912827J78","Note","9-Year 9-Month","05/12/1993","05/17/1993","02/15/2003",""
"912827K76","Note","3-Year","05/11/1993","05/17/1993","05/15/1996",""
"912794F33","Bill","13-Week","05/10/1993","05/13/1993","08/12/1993",""
"912794G57","Bill","26-Week","05/10/1993","05/13/1993","11/12/1993",""
"912794F25","Bill","13-Week","05/03/1993","05/06/1993","08/05/1993",""
"912794G40","Bill","26-Week","05/03/1993","05/06/1993","11/04/1993",""
"912794K45","Bill","52-Week","04/29/1993","05/06/1993","05/05/1994",""
"912827K68","Note","5-Year","04/28/1993","04/30/1993","04/30/1998","99.760"
"912827K50","Note","2-Year","04/27/1993","04/30/1993","04/30/1995","99.990"
"912794D92","Bill","13-Week","04/26/1993","04/29/1993","07/29/1993",""
"912794G32","Bill","26-Week","04/26/1993","04/29/1993","10/28/1993",""
"912794E91","Bill","13-Week","04/19/1993","04/22/1993","07/22/1993",""
"912794E42","Bill","26-Week","04/19/1993","04/22/1993","10/21/1993",""
"912827K43","Note","7-Year","04/13/1993","04/15/1993","04/15/2000",""
"912794E83","Bill","13-Week","04/12/1993","04/15/1993","07/15/1993",""
"912794G24","Bill","26-Week","04/12/1993","04/15/1993","10/14/1993",""
"912794E75","Bill","13-Week","04/07/1993","04/08/1993","07/08/1993",""
"912794F90","Bill","26-Week","04/07/1993","04/08/1993","10/07/1993",""
"912794J88","Bill","52-Week","04/06/1993","04/08/1993","04/07/1994",""
"912794C36","Bill","15-Day","04/06/1993","04/07/1993","04/22/1993",""
"912794T79","Bill","5-Day","03/31/1993","04/02/1993","04/07/1993",""
"912794D76","Bill","13-Week","03/29/1993","04/01/1993","07/01/1993",""
"912794F82","Bill","26-Week","03/29/1993","04/01/1993","09/30/1993",""
"912827K35","Note","5-Year","03/25/1993","03/31/1993","03/31/1998","99.717"
"912827K27","Note","2-Year","03/24/1993","03/31/1993","03/31/1995","99.914"
