"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796B65","Bill","154-Day","08/26/2020","09/01/2020","02/02/2021","99.952944"
"91282CAJ0","Note","5-Year","08/26/2020","08/31/2020","08/31/2025","99.761955"
"91282CAA9","Note","1-Year 11-Month","08/26/2020","08/28/2020","07/31/2022","99.999997"
"91282CAG6","Note","2-Year","08/25/2020","08/31/2020","08/31/2022","99.940116"
"912796TN9","Bill","42-Day","08/25/2020","08/27/2020","10/08/2020","99.990083"
"9127963L1","Bill","119-Day","08/25/2020","08/27/2020","12/24/2020","99.963639"
"9127963B3","Bill","13-Week","08/24/2020","08/27/2020","11/27/2020","99.974444"
"912796XE4","Bill","26-Week","08/24/2020","08/27/2020","02/25/2021","99.939333"
"912810SM1","Bond","29-Year 6-Month","08/20/2020","08/31/2020","02/15/2050","116.316267"
"9127963Z0","Bill","4-Week","08/20/2020","08/25/2020","09/22/2020","99.993778"
"9127964J5","Bill","8-Week","08/20/2020","08/25/2020","10/20/2020","99.986000"
"912810SQ2","Bond","20-Year","08/19/2020","08/31/2020","08/15/2040","98.936182"
"9127965B1","Bill","105-Day","08/19/2020","08/25/2020","12/08/2020","99.969375"
"912796A82","Bill","154-Day","08/19/2020","08/25/2020","01/26/2021","99.950806"
"9127962J7","Bill","42-Day","08/18/2020","08/20/2020","10/01/2020","99.989500"
"9127963K3","Bill","119-Day","08/18/2020","08/20/2020","12/17/2020","99.963639"
"9127963A5","Bill","13-Week","08/17/2020","08/20/2020","11/19/2020","99.973458"
"9127964D8","Bill","26-Week","08/17/2020","08/20/2020","02/18/2021","99.939333"
"9127963Y3","Bill","4-Week","08/13/2020","08/18/2020","09/15/2020","99.993389"
"9127964H9","Bill","8-Week","08/13/2020","08/18/2020","10/13/2020","99.984444"
"912810SP4","Bond","30-Year","08/13/2020","08/17/2020","08/15/2050","99.243433"
"9127964U0","Bill","105-Day","08/12/2020","08/18/2020","12/01/2020","99.967917"
"912796A74","Bill","154-Day","08/12/2020","08/18/2020","01/19/2021","99.948667"
"91282CAE1","Note","10-Year","08/12/2020","08/17/2020","08/15/2030","99.498284"
"91282CAF8","Note","3-Year","08/11/2020","08/17/2020","08/15/2023","99.838798"
"9127962H1","Bill","42-Day","08/11/2020","08/13/2020","09/24/2020","99.988917"
"9127963J6","Bill","119-Day","08/11/2020","08/13/2020","12/10/2020","99.963639"
"9127964B2","Bill","52-Week","08/11/2020","08/13/2020","08/12/2021","99.858444"
"9127962Z1","Bill","13-Week","08/10/2020","08/13/2020","11/12/2020","99.973458"
"9127964C0","Bill","26-Week","08/10/2020","08/13/2020","02/11/2021","99.939333"
"9127963X5","Bill","4-Week","08/06/2020","08/11/2020","09/08/2020","99.993778"
"9127964G1","Bill","8-Week","08/06/2020","08/11/2020","10/06/2020","99.984444"
"9127964T3","Bill","105-Day","08/05/2020","08/11/2020","11/24/2020","99.969375"
"912796A66","Bill","154-Day","08/05/2020","08/11/2020","01/12/2021","99.952944"
"9127962G3","Bill","42-Day","08/04/2020","08/06/2020","09/17/2020","99.990083"
"912796TU3","Bill","119-Day","08/04/2020","08/06/2020","12/03/2020","99.966944"
"912796TP4","Bill","13-Week","08/03/2020","08/06/2020","11/05/2020","99.974722"
"9127963W7","Bill","26-Week","08/03/2020","08/06/2020","02/04/2021","99.946917"
"9127963R8","Bill","4-Week","07/30/2020","08/04/2020","09/01/2020","99.993000"
"9127964A4","Bill","8-Week","07/30/2020","08/04/2020","09/29/2020","99.985222"
