"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794HL1","Bill","52-Week","08/30/1984","09/06/1984","09/05/1985",""
"912827RE4","Note","5-Year 2-Month","08/29/1984","09/04/1984","11/15/1989",""
"912794FV1","Bill","20-Day","08/28/1984","08/31/1984","09/20/1984",""
"912794FK5","Bill","13-Week","08/27/1984","08/30/1984","11/29/1984",""
"912794GU2","Bill","26-Week","08/27/1984","08/30/1984","02/28/1985",""
"912827RD6","Note","2-Year","08/22/1984","08/31/1984","08/31/1986",""
"912794GC2","Bill","13-Week","08/20/1984","08/23/1984","11/23/1984",""
"912794GH1","Bill","26-Week","08/20/1984","08/23/1984","02/21/1985",""
"912794GB4","Bill","13-Week","08/13/1984","08/16/1984","11/15/1984",""
"912794GT5","Bill","26-Week","08/13/1984","08/16/1984","02/14/1985",""
"912810DL9","Bond","30-Year","08/09/1984","08/15/1984","08/15/2014",""
"912827RC8","Note","10-Year","08/08/1984","08/15/1984","08/15/1994",""
"912827RB0","Note","3-Year","08/07/1984","08/15/1984","08/15/1987",""
"912794GA6","Bill","13-Week","08/06/1984","08/09/1984","11/08/1984",""
"912794GS7","Bill","26-Week","08/06/1984","08/09/1984","02/07/1985",""
"912794HK3","Bill","52-Week","08/02/1984","08/09/1984","08/08/1985",""
"912794FJ8","Bill","13-Week","07/30/1984","08/02/1984","11/01/1984",""
"912794GR9","Bill","26-Week","07/30/1984","08/02/1984","01/31/1985",""
"912827RA2","Note","2-Year","07/25/1984","07/31/1984","07/31/1986",""
"912794FZ2","Bill","13-Week","07/23/1984","07/26/1984","10/25/1984",""
"912794GG3","Bill","26-Week","07/23/1984","07/26/1984","01/24/1985",""
"912794FY5","Bill","13-Week","07/16/1984","07/19/1984","10/18/1984",""
"912794GQ1","Bill","26-Week","07/16/1984","07/19/1984","01/17/1985",""
"912794HJ6","Bill","52-Week","07/10/1984","07/12/1984","07/11/1985",""
"912794FX7","Bill","13-Week","07/09/1984","07/12/1984","10/11/1984",""
"912794GP3","Bill","26-Week","07/09/1984","07/12/1984","01/10/1985",""
"912810DK1","Bond","20-Year 1-Month","07/05/1984","07/10/1984","08/15/2004",""
"912827QZ8","Note","7-Year","07/03/1984","07/09/1984","07/15/1991",""
"912794FH2","Bill","13-Week","07/02/1984","07/05/1984","10/04/1984",""
"912794GN8","Bill","26-Week","07/02/1984","07/05/1984","01/03/1985",""
"912827QY1","Note","4-Year","06/26/1984","07/02/1984","06/30/1988",""
"912794FW9","Bill","13-Week","06/25/1984","06/28/1984","09/27/1984",""
"912794FL3","Bill","26-Week","06/25/1984","06/28/1984","12/27/1984",""
"912827QX3","Note","2-Year","06/20/1984","07/02/1984","06/30/1986",""
"912794FV1","Bill","13-Week","06/18/1984","06/21/1984","09/20/1984",""
"912794GF5","Bill","26-Week","06/18/1984","06/21/1984","12/20/1984",""
"912794FU3","Bill","13-Week","06/11/1984","06/14/1984","09/13/1984",""
"912794GE8","Bill","26-Week","06/11/1984","06/14/1984","12/13/1984",""
"912794GM0","Bill","52-Week","06/07/1984","06/14/1984","06/13/1985",""
"912794FG4","Bill","13-Week","06/04/1984","06/07/1984","09/06/1984",""
"912794GD0","Bill","26-Week","06/04/1984","06/07/1984","12/06/1984",""
"912794FC3","Bill","17-Day","05/31/1984","06/04/1984","06/21/1984",""
"912794FQ2","Bill","59-Day","05/31/1984","06/04/1984","08/02/1984",""
"912794FJ8","Bill","150-Day","05/31/1984","06/04/1984","11/01/1984",""
"912827QW5","Note","5-Year 2-Month","05/31/1984","06/01/1984","08/15/1989",""
"912794FT6","Bill","13-Week","05/29/1984","05/31/1984","08/30/1984",""
"912794FK5","Bill","26-Week","05/29/1984","05/31/1984","11/29/1984",""
"912794FC3","Bill","22-Day","05/29/1984","05/30/1984","06/21/1984",""
"912827QV7","Note","2-Year","05/23/1984","05/31/1984","05/31/1986",""
"912794FF6","Bill","77-Day","05/23/1984","05/24/1984","08/09/1984",""
"912794GA6","Bill","168-Day","05/23/1984","05/24/1984","11/08/1984",""
"912794FS8","Bill","13-Week","05/21/1984","05/24/1984","08/23/1984",""
"912794GC2","Bill","26-Week","05/21/1984","05/24/1984","11/23/1984",""
"912794GL2","Bill","52-Week","05/15/1984","05/17/1984","05/16/1985",""
"912794FR0","Bill","13-Week","05/14/1984","05/17/1984","08/16/1984",""
"912794GB4","Bill","26-Week","05/14/1984","05/17/1984","11/15/1984",""
"912810DJ4","Bond","30-Year","05/10/1984","05/15/1984","05/15/2014",""
"912827QU9","Note","10-Year","05/09/1984","05/15/1984","05/15/1994",""
"912827QT2","Note","3-Year","05/08/1984","05/15/1984","05/15/1987",""
"912794FF6","Bill","13-Week","05/07/1984","05/10/1984","08/09/1984",""
"912794GA6","Bill","26-Week","05/07/1984","05/10/1984","11/08/1984",""
"912794FQ2","Bill","13-Week","04/30/1984","05/03/1984","08/02/1984",""
"912794FJ8","Bill","26-Week","04/30/1984","05/03/1984","11/01/1984",""
"912827QS4","Note","2-Year","04/25/1984","04/30/1984","04/30/1986",""
"912794FP4","Bill","13-Week","04/23/1984","04/26/1984","07/26/1984",""
"912794FZ2","Bill","26-Week","04/23/1984","04/26/1984","10/25/1984",""
"912794FN9","Bill","13-Week","04/16/1984","04/19/1984","07/19/1984",""
"912794FY5","Bill","26-Week","04/16/1984","04/19/1984","10/18/1984",""
"912794GK4","Bill","52-Week","04/12/1984","04/19/1984","04/18/1985",""
"912794FE9","Bill","13-Week","04/09/1984","04/12/1984","07/12/1984",""
"912794FX7","Bill","26-Week","04/09/1984","04/12/1984","10/11/1984",""
"912794FM1","Bill","13-Week","04/02/1984","04/05/1984","07/05/1984",""
"912794FH2","Bill","26-Week","04/02/1984","04/05/1984","10/04/1984",""
"912810DH8","Bond","20-Year 1-Month","03/29/1984","04/05/1984","05/15/2004",""
"912827QR6","Note","7-Year","03/28/1984","04/04/1984","04/15/1991",""
"912827QQ8","Note","4-Year","03/27/1984","04/02/1984","03/31/1988",""
"912794FD1","Bill","13-Week","03/26/1984","03/29/1984","06/28/1984",""
"912794FW9","Bill","26-Week","03/26/1984","03/29/1984","09/27/1984",""
"912827QP0","Note","2-Year","03/21/1984","04/02/1984","03/31/1986",""
"912794FC3","Bill","13-Week","03/19/1984","03/22/1984","06/21/1984",""
"912794FV1","Bill","26-Week","03/19/1984","03/22/1984","09/20/1984",""
"912794GJ7","Bill","52-Week","03/15/1984","03/22/1984","03/21/1985",""
"912794EH3","Bill","13-Week","03/12/1984","03/15/1984","06/14/1984",""
"912794FU3","Bill","26-Week","03/12/1984","03/15/1984","09/13/1984",""
"912794FB5","Bill","13-Week","03/05/1984","03/08/1984","06/07/1984",""
"912794FG4","Bill","26-Week","03/05/1984","03/08/1984","09/06/1984",""
"912827QN5","Note","5-Year 2-Month","02/28/1984","03/05/1984","05/15/1989",""
"912794FA7","Bill","13-Week","02/27/1984","03/01/1984","05/31/1984",""
"912794FT6","Bill","26-Week","02/27/1984","03/01/1984","08/30/1984",""
"912827QM7","Note","2-Year","02/22/1984","02/29/1984","02/28/1986",""
"912794EZ3","Bill","13-Week","02/21/1984","02/23/1984","05/24/1984",""
"912794FS8","Bill","26-Week","02/21/1984","02/23/1984","08/23/1984",""
"912794GH1","Bill","52-Week","02/16/1984","02/23/1984","02/21/1985",""
"912794EG5","Bill","13-Week","02/14/1984","02/16/1984","05/17/1984",""
"912794FR0","Bill","26-Week","02/14/1984","02/16/1984","08/16/1984",""
"912810DF2","Bond","29-Year 6-Month","02/09/1984","02/15/1984","08/15/2013",""
"912827QD7","Note","9-Year 9-Month","02/08/1984","02/15/1984","11/15/1993",""
"912827QL9","Note","3-Year","02/07/1984","02/15/1984","02/15/1987",""
"912794EY6","Bill","13-Week","02/06/1984","02/09/1984","05/10/1984",""
"912794FF6","Bill","26-Week","02/06/1984","02/09/1984","08/09/1984",""
