"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794ZY3","Bill","13-Week","10/05/1992","10/08/1992","01/07/1993",""
"912794B86","Bill","26-Week","10/05/1992","10/08/1992","04/08/1993",""
"912794ZX5","Bill","13-Week","09/28/1992","10/01/1992","12/31/1992",""
"912794B78","Bill","26-Week","09/28/1992","10/01/1992","04/01/1993",""
"912827G97","Note","5-Year","09/23/1992","09/30/1992","09/30/1997","99.827"
"912827G89","Note","2-Year","09/22/1992","09/30/1992","09/30/1994","100.000"
"912794ZW7","Bill","13-Week","09/21/1992","09/24/1992","12/24/1992",""
"912794B60","Bill","26-Week","09/21/1992","09/24/1992","03/25/1993",""
"912794E34","Bill","52-Week","09/17/1992","09/24/1992","09/23/1993",""
"912794ZB3","Bill","13-Week","09/14/1992","09/17/1992","12/17/1992",""
"912794B52","Bill","26-Week","09/14/1992","09/17/1992","03/18/1993",""
"912794ZV9","Bill","13-Week","09/08/1992","09/10/1992","12/10/1992",""
"912794B37","Bill","26-Week","09/08/1992","09/10/1992","03/11/1993",""
"912794ZU1","Bill","13-Week","08/31/1992","09/03/1992","12/03/1992",""
"912794B29","Bill","26-Week","08/31/1992","09/03/1992","03/04/1993",""
"912827G71","Note","5-Year","08/26/1992","08/31/1992","08/31/1997",""
"912827G63","Note","2-Year","08/25/1992","08/31/1992","08/31/1994",""
"912794ZT4","Bill","13-Week","08/24/1992","08/27/1992","11/27/1992",""
"912794A95","Bill","26-Week","08/24/1992","08/27/1992","02/25/1993",""
"912794E26","Bill","52-Week","08/20/1992","08/27/1992","08/26/1993",""
"912794ZA5","Bill","13-Week","08/17/1992","08/20/1992","11/19/1992",""
"912794A87","Bill","26-Week","08/17/1992","08/20/1992","02/18/1993",""
"912810EM6","Bond","30-Year","08/13/1992","08/17/1992","08/15/2022",""
"912827G55","Note","10-Year","08/12/1992","08/17/1992","08/15/2002",""
"912827G48","Note","3-Year","08/11/1992","08/17/1992","08/15/1995",""
"912794ZS6","Bill","13-Week","08/10/1992","08/13/1992","11/12/1992",""
"912794A61","Bill","26-Week","08/10/1992","08/13/1992","02/11/1993",""
"912794ZR8","Bill","13-Week","08/03/1992","08/06/1992","11/05/1992",""
"912794A53","Bill","26-Week","08/03/1992","08/06/1992","02/04/1993",""
"912827G30","Note","5-Year","07/29/1992","07/31/1992","07/31/1997",""
"912827G22","Note","2-Year","07/28/1992","07/31/1992","07/31/1994",""
"912794ZQ0","Bill","13-Week","07/27/1992","07/30/1992","10/29/1992",""
"912794A46","Bill","26-Week","07/27/1992","07/30/1992","01/28/1993",""
"912794D92","Bill","52-Week","07/23/1992","07/30/1992","07/29/1993",""
"912794YZ1","Bill","13-Week","07/20/1992","07/23/1992","10/22/1992",""
"912794A38","Bill","26-Week","07/20/1992","07/23/1992","01/21/1993",""
"912794ZP2","Bill","13-Week","07/13/1992","07/16/1992","10/15/1992",""
"912794ZZ0","Bill","26-Week","07/13/1992","07/16/1992","01/14/1993",""
"912827F98","Note","7-Year","07/08/1992","07/15/1992","07/15/1999",""
"912794ZN7","Bill","13-Week","07/06/1992","07/09/1992","10/08/1992",""
"912794ZY3","Bill","26-Week","07/06/1992","07/09/1992","01/07/1993",""
"912794ZM9","Bill","13-Week","06/29/1992","07/02/1992","10/01/1992",""
"912794ZX5","Bill","26-Week","06/29/1992","07/02/1992","12/31/1992",""
"912794D76","Bill","52-Week","06/25/1992","07/02/1992","07/01/1993",""
"912827F80","Note","5-Year","06/24/1992","06/30/1992","06/30/1997",""
"912827F72","Note","2-Year","06/23/1992","06/30/1992","06/30/1994",""
"912794YY4","Bill","13-Week","06/22/1992","06/25/1992","09/24/1992",""
"912794ZW7","Bill","26-Week","06/22/1992","06/25/1992","12/24/1992",""
"912794ZL1","Bill","13-Week","06/15/1992","06/18/1992","09/17/1992",""
"912794ZB3","Bill","26-Week","06/15/1992","06/18/1992","12/17/1992",""
"912794ZK3","Bill","13-Week","06/08/1992","06/11/1992","09/10/1992",""
"912794ZV9","Bill","26-Week","06/08/1992","06/11/1992","12/10/1992",""
"912794ZJ6","Bill","13-Week","06/01/1992","06/04/1992","09/03/1992",""
"912794ZU1","Bill","26-Week","06/01/1992","06/04/1992","12/03/1992",""
"912794D27","Bill","52-Week","05/28/1992","06/04/1992","06/03/1993",""
"912794YT5","Bill","15-Day","05/27/1992","06/03/1992","06/18/1992",""
"912794YX6","Bill","13-Week","05/26/1992","05/28/1992","08/27/1992",""
"912794ZT4","Bill","26-Week","05/26/1992","05/28/1992","11/27/1992",""
"912827F64","Note","5-Year","05/21/1992","06/01/1992","05/31/1997",""
"912827F56","Note","2-Year","05/20/1992","06/01/1992","05/31/1994",""
"912794ZH0","Bill","13-Week","05/18/1992","05/21/1992","08/20/1992",""
"912794ZA5","Bill","26-Week","05/18/1992","05/21/1992","11/19/1992",""
"912794YT5","Bill","34-Day","05/13/1992","05/15/1992","06/18/1992",""
"912794ZG2","Bill","13-Week","05/11/1992","05/14/1992","08/13/1992",""
"912794ZS6","Bill","26-Week","05/11/1992","05/14/1992","11/12/1992",""
"912810EL8","Bond","29-Year 6-Month","05/07/1992","05/15/1992","11/15/2021",""
"912827F49","Note","10-Year","05/06/1992","05/15/1992","05/15/2002",""
"912827F31","Note","3-Year","05/05/1992","05/15/1992","05/15/1995",""
"912794ZF4","Bill","13-Week","05/04/1992","05/07/1992","08/06/1992",""
"912794ZR8","Bill","26-Week","05/04/1992","05/07/1992","11/05/1992",""
"912794C51","Bill","52-Week","04/30/1992","05/07/1992","05/06/1993",""
"912794YW8","Bill","13-Week","04/27/1992","04/30/1992","07/30/1992",""
"912794ZQ0","Bill","26-Week","04/27/1992","04/30/1992","10/29/1992",""
"912827F23","Note","5-Year","04/23/1992","04/30/1992","04/30/1997",""
"912827E99","Note","2-Year","04/22/1992","04/30/1992","04/30/1994",""
"912794ZE7","Bill","13-Week","04/20/1992","04/23/1992","07/23/1992",""
"912794YZ1","Bill","26-Week","04/20/1992","04/23/1992","10/22/1992",""
"912794ZD9","Bill","13-Week","04/13/1992","04/16/1992","07/16/1992",""
"912794ZP2","Bill","26-Week","04/13/1992","04/16/1992","10/15/1992",""
"912827E81","Note","7-Year","04/08/1992","04/15/1992","04/15/1999",""
"912794ZC1","Bill","13-Week","04/06/1992","04/09/1992","07/09/1992",""
"912794ZN7","Bill","26-Week","04/06/1992","04/09/1992","10/08/1992",""
"912794B86","Bill","52-Week","04/02/1992","04/09/1992","04/08/1993",""
"912794YJ7","Bill","13-Day","04/01/1992","04/03/1992","04/16/1992",""
"912794YV0","Bill","13-Week","03/30/1992","04/02/1992","07/02/1992",""
"912794ZM9","Bill","26-Week","03/30/1992","04/02/1992","10/01/1992",""
"912827E73","Note","5-Year","03/25/1992","03/31/1992","03/31/1997",""
"912827E65","Note","2-Year","03/24/1992","03/31/1992","03/31/1994",""
"912794YU2","Bill","13-Week","03/23/1992","03/26/1992","06/25/1992",""
"912794YY4","Bill","26-Week","03/23/1992","03/26/1992","09/24/1992",""
"912794YT5","Bill","13-Week","03/16/1992","03/19/1992","06/18/1992",""
"912794ZL1","Bill","26-Week","03/16/1992","03/19/1992","09/17/1992",""
"912794YS7","Bill","13-Week","03/09/1992","03/12/1992","06/11/1992",""
"912794ZK3","Bill","26-Week","03/09/1992","03/12/1992","09/10/1992",""
"912794B37","Bill","52-Week","03/05/1992","03/12/1992","03/11/1993",""
"912794YR9","Bill","13-Week","03/02/1992","03/05/1992","06/04/1992",""
"912794ZJ6","Bill","26-Week","03/02/1992","03/05/1992","09/03/1992",""
"912794YL2","Bill","57-Day","02/27/1992","03/04/1992","04/30/1992",""
"912827E57","Note","5-Year","02/26/1992","03/02/1992","02/28/1997",""
"912827E40","Note","2-Year","02/25/1992","03/02/1992","02/28/1994",""
