"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912795NL1","Bill","26-Week","03/03/2003","03/06/2003","09/04/2003","99.409"
"912795MX6","Bill","14-Day","02/27/2003","03/03/2003","03/17/2003","99.952"
"912828AV2","Note","2-Year","02/26/2003","02/28/2003","02/28/2005","99.853"
"912795ME8","Bill","4-Week","02/25/2003","02/27/2003","03/27/2003","99.905"
"912795MP3","Bill","13-Week","02/24/2003","02/27/2003","05/29/2003","99.703"
"912795NK3","Bill","26-Week","02/24/2003","02/27/2003","08/28/2003","99.406"
"912795MD0","Bill","4-Week","02/19/2003","02/20/2003","03/20/2003","99.910"
"912795MN8","Bill","13-Week","02/18/2003","02/20/2003","05/22/2003","99.707"
"912795NJ6","Bill","26-Week","02/18/2003","02/20/2003","08/21/2003","99.403"
"912828AU4","Note","10-Year","02/12/2003","02/18/2003","02/15/2013","99.304"
"912828AT7","Note","5-Year","02/11/2003","02/18/2003","02/15/2008","99.866"
"912795MC2","Bill","4-Week","02/11/2003","02/13/2003","03/13/2003","99.910"
"912795MM0","Bill","13-Week","02/10/2003","02/13/2003","05/15/2003","99.709"
"912795NH0","Bill","26-Week","02/10/2003","02/13/2003","08/14/2003","99.411"
"912795MB4","Bill","4-Week","02/04/2003","02/06/2003","03/06/2003","99.911"
"912795ML2","Bill","13-Week","02/03/2003","02/06/2003","05/08/2003","99.708"
"912795NG2","Bill","26-Week","02/03/2003","02/06/2003","08/07/2003","99.401"
"912828AS9","Note","2-Year","01/29/2003","01/31/2003","01/31/2005","99.834"
"912795MA6","Bill","4-Week","01/28/2003","01/30/2003","02/27/2003","99.910"
"912795MK4","Bill","13-Week","01/27/2003","01/30/2003","05/01/2003","99.712"
"912795NF4","Bill","26-Week","01/27/2003","01/30/2003","07/31/2003","99.414"
"912795LZ2","Bill","4-Week","01/22/2003","01/23/2003","02/20/2003","99.912"
"912795MJ7","Bill","13-Week","01/21/2003","01/23/2003","04/24/2003","99.707"
"912795NE7","Bill","26-Week","01/21/2003","01/23/2003","07/24/2003","99.398"
"912795LY5","Bill","4-Week","01/14/2003","01/16/2003","02/13/2003","99.912"
"912795MH1","Bill","13-Week","01/13/2003","01/16/2003","04/17/2003","99.702"
"912795ND9","Bill","26-Week","01/13/2003","01/16/2003","07/17/2003","99.378"
"912828AF7","Note","9-Year 6-Month","01/08/2003","01/15/2003","07/15/2012","106.474"
"912795LX7","Bill","4-Week","01/07/2003","01/09/2003","02/06/2003","99.911"
"912795MG3","Bill","13-Week","01/06/2003","01/09/2003","04/10/2003","99.700"
"912795NC1","Bill","26-Week","01/06/2003","01/09/2003","07/10/2003","99.373"
"912795LW9","Bill","4-Week","12/31/2002","01/02/2003","01/30/2003","99.909"
"912795MF5","Bill","13-Week","12/30/2002","01/02/2003","04/03/2003","99.700"
"912795NB3","Bill","26-Week","12/30/2002","01/02/2003","07/03/2003","99.383"
"912795LV1","Bill","4-Week","12/24/2002","12/26/2002","01/23/2003","99.911"
"912828AR1","Note","2-Year","12/23/2002","12/31/2002","12/31/2004","99.863"
"912795ME8","Bill","13-Week","12/23/2002","12/26/2002","03/27/2003","99.700"
"912795MT5","Bill","26-Week","12/23/2002","12/26/2002","06/26/2003","99.373"
"912795LU3","Bill","4-Week","12/17/2002","12/19/2002","01/16/2003","99.907"
"912795MD0","Bill","13-Week","12/16/2002","12/19/2002","03/20/2003","99.697"
"912795MS7","Bill","26-Week","12/16/2002","12/19/2002","06/19/2003","99.363"
"912795LT6","Bill","4-Week","12/10/2002","12/12/2002","01/09/2003","99.906"
"912795MC2","Bill","13-Week","12/09/2002","12/12/2002","03/13/2003","99.698"
"912795MR9","Bill","26-Week","12/09/2002","12/12/2002","06/12/2003","99.371"
"912795MW8","Bill","6-Day","12/09/2002","12/10/2002","12/16/2002","99.979"
"912795LS8","Bill","4-Week","12/03/2002","12/05/2002","01/02/2003","99.906"
"912795MB4","Bill","13-Week","12/02/2002","12/05/2002","03/06/2003","99.694"
"912795MQ1","Bill","26-Week","12/02/2002","12/05/2002","06/05/2003","99.348"
"912828AQ3","Note","2-Year","11/27/2002","12/02/2002","11/30/2004","99.767"
"912795LR0","Bill","4-Week","11/26/2002","11/29/2002","12/26/2002","99.906"
"912795MA6","Bill","13-Week","11/25/2002","11/29/2002","02/27/2003","99.698"
"912795MP3","Bill","26-Week","11/25/2002","11/29/2002","05/29/2003","99.364"
"912795LQ2","Bill","4-Week","11/19/2002","11/21/2002","12/19/2002","99.907"
"912795LZ2","Bill","13-Week","11/18/2002","11/21/2002","02/20/2003","99.695"
"912795MN8","Bill","26-Week","11/18/2002","11/21/2002","05/22/2003","99.371"
"912795LP4","Bill","4-Week","11/13/2002","11/14/2002","12/12/2002","99.907"
"912795LY5","Bill","13-Week","11/12/2002","11/14/2002","02/13/2003","99.699"
"912795MM0","Bill","26-Week","11/12/2002","11/14/2002","05/15/2003","99.381"
"912828AP5","Note","10-Year","11/06/2002","11/15/2002","11/15/2012","99.227"
"912828AN0","Note","5-Year","11/05/2002","11/15/2002","11/15/2007","99.862"
"912795LN9","Bill","4-Week","11/05/2002","11/07/2002","12/05/2002","99.889"
"912795LX7","Bill","13-Week","11/04/2002","11/07/2002","02/06/2003","99.644"
"912795ML2","Bill","26-Week","11/04/2002","11/07/2002","05/08/2003","99.295"
"912795LM1","Bill","4-Week","10/29/2002","10/31/2002","11/29/2002","99.875"
"912795LW9","Bill","13-Week","10/28/2002","10/31/2002","01/30/2003","99.608"
"912795MK4","Bill","26-Week","10/28/2002","10/31/2002","05/01/2003","99.234"
"912828AM2","Note","2-Year","10/23/2002","10/31/2002","10/31/2004","99.971"
"912795LL3","Bill","4-Week","10/22/2002","10/24/2002","11/21/2002","99.870"
"912795LV1","Bill","13-Week","10/21/2002","10/24/2002","01/23/2003","99.579"
"912795MJ7","Bill","26-Week","10/21/2002","10/24/2002","04/24/2003","99.158"
"912795LK5","Bill","4-Week","10/16/2002","10/17/2002","11/14/2002","99.873"
"912795LU3","Bill","13-Week","10/15/2002","10/17/2002","01/16/2003","99.588"
"912795MH1","Bill","26-Week","10/15/2002","10/17/2002","04/17/2003","99.176"
"912828AF7","Note","9-Year 9-Month","10/09/2002","10/15/2002","07/15/2012","106.777"
"912795LJ8","Bill","4-Week","10/08/2002","10/10/2002","11/07/2002","99.876"
"912795LT6","Bill","13-Week","10/07/2002","10/10/2002","01/09/2003","99.599"
"912795MG3","Bill","26-Week","10/07/2002","10/10/2002","04/10/2003","99.227"
"912795LH2","Bill","4-Week","10/01/2002","10/03/2002","10/31/2002","99.876"
"912795LS8","Bill","13-Week","09/30/2002","10/03/2002","01/02/2003","99.611"
"912795MF5","Bill","26-Week","09/30/2002","10/03/2002","04/03/2003","99.254"
"912828AL4","Note","2-Year","09/25/2002","09/30/2002","09/30/2004","99.834"
"912795LG4","Bill","4-Week","09/24/2002","09/26/2002","10/24/2002","99.874"
"912795LR0","Bill","13-Week","09/23/2002","09/26/2002","12/26/2002","99.593"
"912795ME8","Bill","26-Week","09/23/2002","09/26/2002","03/27/2003","99.201"
"912795LF6","Bill","4-Week","09/17/2002","09/19/2002","10/17/2002","99.871"
"912795LQ2","Bill","13-Week","09/16/2002","09/19/2002","12/19/2002","99.580"
"912795MD0","Bill","26-Week","09/16/2002","09/19/2002","03/20/2003","99.171"
"912795LE9","Bill","4-Week","09/10/2002","09/12/2002","10/10/2002","99.869"
"912795MV0","Bill","5-Day","09/10/2002","09/11/2002","09/16/2002","99.976"
"912795LP4","Bill","13-Week","09/09/2002","09/12/2002","12/12/2002","99.584"
"912795MC2","Bill","26-Week","09/09/2002","09/12/2002","03/13/2003","99.173"
"912795LD1","Bill","4-Week","09/04/2002","09/05/2002","10/03/2002","99.871"
"912795LN9","Bill","13-Week","09/03/2002","09/05/2002","12/05/2002","99.593"
"912795MB4","Bill","26-Week","09/03/2002","09/05/2002","03/06/2003","99.201"
"912828AK6","Note","2-Year","08/28/2002","09/03/2002","08/31/2004","99.816"
"912795LC3","Bill","4-Week","08/27/2002","08/29/2002","09/26/2002","99.869"
"912795LM1","Bill","13-Week","08/26/2002","08/29/2002","11/29/2002","99.583"
"912795MA6","Bill","26-Week","08/26/2002","08/29/2002","02/27/2003","99.173"
"912795LB5","Bill","4-Week","08/20/2002","08/22/2002","09/19/2002","99.871"
"912795LL3","Bill","13-Week","08/19/2002","08/22/2002","11/21/2002","99.588"
