"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796UX5","Bill","8-Week","02/14/2019","02/19/2019","04/16/2019","99.626667"
"912796RQ4","Bill","13-Week","02/11/2019","02/14/2019","05/16/2019","99.393333"
"912796QV4","Bill","26-Week","02/11/2019","02/14/2019","08/15/2019","98.761389"
"912810SF6","Bond","30-Year","02/07/2019","02/15/2019","02/15/2049","99.568039"
"912796US6","Bill","4-Week","02/07/2019","02/12/2019","03/12/2019","99.814111"
"912796UW7","Bill","8-Week","02/07/2019","02/12/2019","04/09/2019","99.629000"
"9128286B1","Note","10-Year","02/06/2019","02/15/2019","02/15/2029","99.442089"
"912796XJ3","Bill","18-Day","02/06/2019","02/11/2019","03/01/2019","99.880250"
"9128286C9","Note","3-Year","02/05/2019","02/15/2019","02/15/2022","99.994254"
"912796RP6","Bill","13-Week","02/04/2019","02/07/2019","05/09/2019","99.397125"
"912796SC4","Bill","26-Week","02/04/2019","02/07/2019","08/08/2019","98.766444"
"912796UR8","Bill","4-Week","01/31/2019","02/05/2019","03/05/2019","99.814111"
"912796UV9","Bill","8-Week","01/31/2019","02/05/2019","04/02/2019","99.626667"
"912796RY7","Bill","52-Week","01/29/2019","01/31/2019","01/30/2020","97.457056"
"9128285Y2","Note","2-Year","01/29/2019","01/31/2019","01/31/2021","100.000000"
"9128286A3","Note","7-Year","01/29/2019","01/31/2019","01/31/2026","100.000000"
"912796RJ0","Bill","13-Week","01/28/2019","01/31/2019","05/02/2019","99.399653"
"912796SB6","Bill","26-Week","01/28/2019","01/31/2019","08/01/2019","98.761389"
"9128285X4","Note","2-Year","01/28/2019","01/31/2019","01/31/2021","99.806335"
"9128285Z9","Note","5-Year","01/28/2019","01/31/2019","01/31/2024","99.645588"
"912796UQ0","Bill","4-Week","01/24/2019","01/29/2019","02/26/2019","99.816833"
"912796UU1","Bill","8-Week","01/24/2019","01/29/2019","03/26/2019","99.631333"
"912796QC6","Bill","13-Week","01/22/2019","01/24/2019","04/25/2019","99.395861"
"912796SA8","Bill","26-Week","01/22/2019","01/24/2019","07/25/2019","98.761389"
"9128285W6","Note","10-Year","01/17/2019","01/31/2019","01/15/2029","99.409861"
"912796UP2","Bill","4-Week","01/17/2019","01/22/2019","02/19/2019","99.815667"
"912796UT4","Bill","8-Week","01/17/2019","01/22/2019","03/19/2019","99.632111"
"912796RH4","Bill","13-Week","01/14/2019","01/17/2019","04/18/2019","99.392069"
"912796QR3","Bill","26-Week","01/14/2019","01/17/2019","07/18/2019","98.756333"
"912796UN7","Bill","4-Week","01/10/2019","01/15/2019","02/12/2019","99.814889"
"912796US6","Bill","8-Week","01/10/2019","01/15/2019","03/12/2019","99.628222"
"912810SE9","Bond","29-Year 10-Month","01/10/2019","01/15/2019","11/15/2048","106.635985"
"9128285M8","Note","9-Year 10-Month","01/09/2019","01/15/2019","11/15/2028","103.398824"
"9128285V8","Note","3-Year","01/08/2019","01/15/2019","01/15/2022","99.830664"
"912796RG6","Bill","13-Week","01/07/2019","01/10/2019","04/11/2019","99.390806"
"912796RZ4","Bill","26-Week","01/07/2019","01/10/2019","07/11/2019","98.751278"
"912796UM9","Bill","4-Week","01/03/2019","01/08/2019","02/05/2019","99.814111"
"912796UR8","Bill","8-Week","01/03/2019","01/08/2019","03/05/2019","99.630556"
"912796RD3","Bill","13-Week","12/31/2018","01/03/2019","04/04/2019","99.376903"
"912796RW1","Bill","26-Week","12/31/2018","01/03/2019","07/05/2019","98.726625"
"912796RT8","Bill","52-Week","12/31/2018","01/03/2019","01/02/2020","97.426722"
"912796UL1","Bill","4-Week","12/27/2018","01/02/2019","01/29/2019","99.820000"
"912796UQ0","Bill","8-Week","12/27/2018","01/02/2019","02/26/2019","99.630278"
"9128285T3","Note","7-Year","12/27/2018","12/31/2018","12/31/2025","99.651077"
"9128285U0","Note","5-Year","12/26/2018","12/31/2018","12/31/2023","99.874345"
"9128285H9","Note","1-Year 10-Month","12/26/2018","12/28/2018","10/31/2020","99.808012"
"9128285S5","Note","2-Year","12/24/2018","12/31/2018","12/31/2020","99.769592"
"912796PX1","Bill","13-Week","12/24/2018","12/27/2018","03/28/2019","99.389542"
"912796RV3","Bill","26-Week","12/24/2018","12/27/2018","06/27/2019","98.746222"
"9128284H0","Note","4-Year 4-Month","12/20/2018","12/31/2018","04/15/2023","99.660353"
"912796UK3","Bill","4-Week","12/20/2018","12/26/2018","01/22/2019","99.823000"
"912796UP2","Bill","8-Week","12/20/2018","12/26/2018","02/19/2019","99.637153"
"912796RC5","Bill","13-Week","12/17/2018","12/20/2018","03/21/2019","99.399653"
"912796QM4","Bill","26-Week","12/17/2018","12/20/2018","06/20/2019","98.743694"
"912796UJ6","Bill","4-Week","12/13/2018","12/18/2018","01/15/2019","99.819167"
"912796UN7","Bill","8-Week","12/13/2018","12/18/2018","02/12/2019","99.632889"
"912810SE9","Bond","29-Year 11-Month","12/13/2018","12/17/2018","11/15/2048","104.037595"
"9128285M8","Note","9-Year 11-Month","12/12/2018","12/17/2018","11/15/2028","101.793273"
"9128285R7","Note","3-Year","12/11/2018","12/17/2018","12/15/2021","99.648536"
"912796RB7","Bill","13-Week","12/10/2018","12/13/2018","03/14/2019","99.399653"
"912796RU5","Bill","26-Week","12/10/2018","12/13/2018","06/13/2019","98.746222"
"912796UH0","Bill","4-Week","12/06/2018","12/11/2018","01/08/2019","99.816056"
"912796UM9","Bill","8-Week","12/06/2018","12/11/2018","02/05/2019","99.628222"
"912796UG2","Bill","4-Week","12/04/2018","12/06/2018","01/02/2019","99.826000"
"912796UL1","Bill","8-Week","12/04/2018","12/06/2018","01/29/2019","99.646000"
"912796RN1","Bill","52-Week","12/04/2018","12/06/2018","12/05/2019","97.335722"
"912796QZ5","Bill","13-Week","12/03/2018","12/06/2018","03/07/2019","99.402181"
"912796RS0","Bill","26-Week","12/03/2018","12/06/2018","06/06/2019","98.738639"
"9128285H9","Note","1-Year 11-Month","11/28/2018","11/30/2018","10/31/2020","99.989687"
"9128285N6","Note","7-Year","11/28/2018","11/30/2018","11/30/2025","99.378525"
"9128285P1","Note","5-Year","11/27/2018","11/30/2018","11/30/2023","99.976871"
"912796UF4","Bill","4-Week","11/27/2018","11/29/2018","12/26/2018","99.829750"
"912796UK3","Bill","8-Week","11/27/2018","11/29/2018","01/22/2019","99.652750"
"9128285Q9","Note","2-Year","11/26/2018","11/30/2018","11/30/2020","99.833929"
"912796PT0","Bill","13-Week","11/26/2018","11/29/2018","02/28/2019","99.400917"
"912796RR2","Bill","26-Week","11/26/2018","11/29/2018","05/30/2019","98.748750"
"912828Y38","Note","9-Year 8-Month","11/21/2018","11/30/2018","07/15/2028","97.275351"
"912796UE7","Bill","4-Week","11/20/2018","11/23/2018","12/18/2018","99.847222"
"912796UJ6","Bill","8-Week","11/20/2018","11/23/2018","01/15/2019","99.661389"
"912796QY8","Bill","13-Week","11/19/2018","11/23/2018","02/21/2019","99.413750"
"912796QH5","Bill","26-Week","11/19/2018","11/23/2018","05/23/2019","98.765681"
"912796UD9","Bill","4-Week","11/13/2018","11/15/2018","12/11/2018","99.841111"
"912796UH0","Bill","8-Week","11/13/2018","11/15/2018","01/08/2019","99.657250"
"912796QX0","Bill","13-Week","11/13/2018","11/15/2018","02/14/2019","99.408500"
"912796RQ4","Bill","26-Week","11/13/2018","11/15/2018","05/16/2019","98.753806"
"912810SE9","Bond","30-Year","11/07/2018","11/15/2018","11/15/2048","99.197082"
"9128285M8","Note","10-Year","11/06/2018","11/15/2018","11/15/2028","99.286291"
"912796PE3","Bill","4-Week","11/06/2018","11/08/2018","12/06/2018","99.828889"
"912796UG2","Bill","8-Week","11/06/2018","11/08/2018","01/02/2019","99.657778"
"912796RM3","Bill","52-Week","11/06/2018","11/08/2018","11/07/2019","97.325611"
"9128285L0","Note","3-Year","11/05/2018","11/15/2018","11/15/2021","99.692263"
"912796QW2","Bill","13-Week","11/05/2018","11/08/2018","02/07/2019","99.413556"
"912796RP6","Bill","26-Week","11/05/2018","11/08/2018","05/09/2019","98.761389"
"912796QL6","Bill","4-Week","10/30/2018","11/01/2018","11/29/2018","99.831611"
"912796UF4","Bill","8-Week","10/30/2018","11/01/2018","12/26/2018","99.663125"
"912796PP8","Bill","13-Week","10/29/2018","11/01/2018","01/31/2019","99.417347"
"912796RJ0","Bill","26-Week","10/29/2018","11/01/2018","05/02/2019","98.771500"
"9128285J5","Note","7-Year","10/25/2018","10/31/2018","10/31/2025","99.537120"
"9128285H9","Note","2-Year","10/24/2018","10/31/2018","10/31/2020","100.000000"
"9128285K2","Note","5-Year","10/24/2018","10/31/2018","10/31/2023","99.529382"
