"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796WT2","Bill","4-Week","01/16/2020","01/21/2020","02/18/2020","99.882944"
"912796XB0","Bill","8-Week","01/16/2020","01/21/2020","03/17/2020","99.762000"
"912796TR0","Bill","13-Week","01/13/2020","01/16/2020","04/16/2020","99.613250"
"912796SZ3","Bill","26-Week","01/13/2020","01/16/2020","07/16/2020","99.226500"
"912810SK5","Bond","29-Year 10-Month","01/09/2020","01/15/2020","11/15/2049","100.723975"
"912796WS4","Bill","4-Week","01/09/2020","01/14/2020","02/11/2020","99.884111"
"912796XA2","Bill","8-Week","01/09/2020","01/14/2020","03/10/2020","99.764333"
"912828YS3","Note","9-Year 10-Month","01/08/2020","01/15/2020","11/15/2029","98.933819"
"912828Z29","Note","3-Year","01/07/2020","01/15/2020","01/15/2023","99.804399"
"912796TQ2","Bill","13-Week","01/06/2020","01/09/2020","04/09/2020","99.615778"
"912796WW5","Bill","26-Week","01/06/2020","01/09/2020","07/09/2020","99.231556"
"912796WR6","Bill","4-Week","01/02/2020","01/07/2020","02/04/2020","99.883333"
"912796WV7","Bill","8-Week","01/02/2020","01/07/2020","03/03/2020","99.764333"
"912796TM1","Bill","13-Week","12/30/2019","01/02/2020","04/02/2020","99.615778"
"912796UB3","Bill","26-Week","12/30/2019","01/02/2020","07/02/2020","99.211333"
"912796TY5","Bill","52-Week","12/30/2019","01/02/2020","12/31/2020","98.432778"
"912796WQ8","Bill","4-Week","12/26/2019","12/31/2019","01/28/2020","99.879056"
"912796WU9","Bill","8-Week","12/26/2019","12/31/2019","02/25/2020","99.756556"
"912828YX2","Note","7-Year","12/26/2019","12/31/2019","12/31/2026","99.444016"
"912828YY0","Note","5-Year","12/24/2019","12/31/2019","12/31/2024","99.971399"
"912828YZ7","Note","2-Year","12/23/2019","12/31/2019","12/31/2021","99.945138"
"912796SH3","Bill","13-Week","12/23/2019","12/26/2019","03/26/2020","99.606931"
"912796UA5","Bill","26-Week","12/23/2019","12/26/2019","06/25/2020","99.206278"
"912828YL8","Note","4-Year 10-Month","12/19/2019","12/31/2019","10/15/2024","100.801136"
"912796WP0","Bill","4-Week","12/19/2019","12/24/2019","01/21/2020","99.882556"
"912796WT2","Bill","8-Week","12/19/2019","12/24/2019","02/18/2020","99.758111"
