"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912795HT1","Bill","13-Week","07/23/2001","07/26/2001","10/25/2001","99.120"
"912795JD4","Bill","26-Week","07/23/2001","07/26/2001","01/24/2002","98.261"
"912795HS3","Bill","13-Week","07/16/2001","07/19/2001","10/18/2001","99.103"
"912795JC6","Bill","26-Week","07/16/2001","07/19/2001","01/17/2002","98.236"
"9128276R8","Note","9-Year 6-Month","07/11/2001","07/16/2001","01/15/2011","101.863"
"912795GS4","Bill","13-Week","07/09/2001","07/12/2001","10/11/2001","99.100"
"912795JB8","Bill","26-Week","07/09/2001","07/12/2001","01/10/2002","98.231"
"912795HR5","Bill","13-Week","07/02/2001","07/05/2001","10/04/2001","99.095"
"912795JA0","Bill","26-Week","07/02/2001","07/05/2001","01/03/2002","98.231"
"912795HC8","Bill","9-Day","07/02/2001","07/03/2001","07/12/2001","99.906"
"9128276Z0","Note","2-Year","06/27/2001","07/02/2001","06/30/2003","99.781"
"912795HQ7","Bill","13-Week","06/25/2001","06/28/2001","09/27/2001","99.147"
"912795HZ7","Bill","26-Week","06/25/2001","06/28/2001","12/27/2001","98.311"
"912795HP9","Bill","13-Week","06/18/2001","06/21/2001","09/20/2001","99.132"
"912795HY0","Bill","26-Week","06/18/2001","06/21/2001","12/20/2001","98.291"
"912795GR6","Bill","13-Week","06/11/2001","06/14/2001","09/13/2001","99.113"
"912795HX2","Bill","26-Week","06/11/2001","06/14/2001","12/13/2001","98.226"
"912795HN4","Bill","13-Week","06/04/2001","06/07/2001","09/06/2001","99.093"
"912795GU9","Bill","26-Week","06/04/2001","06/07/2001","12/06/2001","98.220"
"912795KJ9","Bill","14-Day","05/31/2001","06/01/2001","06/15/2001","99.846"
"912795GL9","Bill","14-Day","05/30/2001","05/31/2001","06/14/2001","99.846"
"9128276Y3","Note","2-Year","05/30/2001","05/31/2001","05/31/2003","99.854"
"912795HL8","Bill","13-Week","05/29/2001","05/31/2001","08/30/2001","99.089"
"912795HM6","Bill","26-Week","05/29/2001","05/31/2001","11/29/2001","98.205"
"912795HH7","Bill","13-Week","05/21/2001","05/24/2001","08/23/2001","99.105"
"912795HW4","Bill","26-Week","05/21/2001","05/24/2001","11/23/2001","98.150"
"912795GQ8","Bill","13-Week","05/14/2001","05/17/2001","08/16/2001","99.082"
"912795HV6","Bill","26-Week","05/14/2001","05/17/2001","11/15/2001","98.160"
"9128276T4","Note","9-Year 9-Month","05/09/2001","05/15/2001","02/15/2011","98.551"
"9128276X5","Note","5-Year","05/08/2001","05/15/2001","05/15/2006","99.845"
"912795HG9","Bill","13-Week","05/07/2001","05/10/2001","08/09/2001","99.075"
"912795GT2","Bill","26-Week","05/07/2001","05/10/2001","11/08/2001","98.170"
"912795HE4","Bill","13-Week","04/30/2001","05/03/2001","08/02/2001","99.018"
"912795HU8","Bill","26-Week","04/30/2001","05/03/2001","11/01/2001","98.049"
"9128276W7","Note","2-Year","04/25/2001","04/30/2001","04/30/2003","99.764"
"912795HD6","Bill","13-Week","04/23/2001","04/26/2001","07/26/2001","99.076"
"912795HT1","Bill","26-Week","04/23/2001","04/26/2001","10/25/2001","98.147"
"912795KH3","Bill","4-Day","04/18/2001","04/19/2001","04/23/2001","99.950"
"912795GP0","Bill","13-Week","04/16/2001","04/19/2001","07/19/2001","98.976"
"912795HS3","Bill","26-Week","04/16/2001","04/19/2001","10/18/2001","97.947"
"912795HC8","Bill","13-Week","04/09/2001","04/12/2001","07/12/2001","99.034"
"912795GS4","Bill","26-Week","04/09/2001","04/12/2001","10/11/2001","98.071"
"912795HA2","Bill","13-Week","04/02/2001","04/05/2001","07/05/2001","98.957"
"912795HR5","Bill","26-Week","04/02/2001","04/05/2001","10/04/2001","97.968"
"912795KG5","Bill","13-Day","04/02/2001","04/03/2001","04/16/2001","99.819"
"9128276V9","Note","2-Year","03/28/2001","04/02/2001","03/31/2003","99.905"
"912795GC9","Bill","21-Day","03/27/2001","03/29/2001","04/19/2001","99.712"
"912795GN5","Bill","13-Week","03/26/2001","03/29/2001","06/28/2001","98.938"
"912795HQ7","Bill","26-Week","03/26/2001","03/29/2001","09/27/2001","97.917"
"912795GM7","Bill","13-Week","03/19/2001","03/22/2001","06/21/2001","98.895"
"912795HP9","Bill","26-Week","03/19/2001","03/22/2001","09/20/2001","97.867"
"912795GL9","Bill","13-Week","03/12/2001","03/15/2001","06/14/2001","98.857"
"912795GR6","Bill","26-Week","03/12/2001","03/15/2001","09/13/2001","97.765"
"912795GK1","Bill","13-Week","03/05/2001","03/08/2001","06/07/2001","98.812"
"912795HN4","Bill","26-Week","03/05/2001","03/08/2001","09/06/2001","97.710"
"912795FX4","Bill","13-Day","02/28/2001","03/02/2001","03/15/2001","99.805"
"912795HJ3","Bill","52-Week","02/27/2001","03/01/2001","02/28/2002","95.713"
"912795GC9","Bill","50-Day","02/27/2001","02/28/2001","04/19/2001","99.313"
"912795GJ4","Bill","13-Week","02/26/2001","03/01/2001","05/31/2001","98.809"
"912795HL8","Bill","26-Week","02/26/2001","03/01/2001","08/30/2001","97.728"
"9128276U1","Note","2-Year","02/21/2001","02/28/2001","02/28/2003","99.887"
"912795GH8","Bill","13-Week","02/20/2001","02/22/2001","05/24/2001","98.760"
"912795HH7","Bill","26-Week","02/20/2001","02/22/2001","08/23/2001","97.589"
"912795GG0","Bill","13-Week","02/12/2001","02/15/2001","05/17/2001","98.761"
"912795GQ8","Bill","26-Week","02/12/2001","02/15/2001","08/16/2001","97.601"
"912810FP8","Bond","30-Year","02/08/2001","02/15/2001","02/15/2031","98.753"
"9128276T4","Note","10-Year","02/07/2001","02/15/2001","02/15/2011","99.479"
"9128276N7","Note","4-Year 9-Month","02/06/2001","02/15/2001","11/15/2005","103.527"
"912795GF2","Bill","13-Week","02/05/2001","02/08/2001","05/10/2001","98.756"
"912795HG9","Bill","26-Week","02/05/2001","02/08/2001","08/09/2001","97.596"
"912795GE5","Bill","13-Week","01/29/2001","02/01/2001","05/03/2001","98.741"
"912795HE4","Bill","26-Week","01/29/2001","02/01/2001","08/02/2001","97.553"
"9128276S6","Note","2-Year","01/24/2001","01/31/2001","01/31/2003","99.981"
"912795GD7","Bill","13-Week","01/22/2001","01/25/2001","04/26/2001","98.713"
"912795HD6","Bill","26-Week","01/22/2001","01/25/2001","07/26/2001","97.513"
"912795GC9","Bill","13-Week","01/16/2001","01/18/2001","04/19/2001","98.681"
"912795GP0","Bill","26-Week","01/16/2001","01/18/2001","07/19/2001","97.444"
"9128276R8","Note","10-Year","01/10/2001","01/16/2001","01/15/2011","99.818"
"912795GB1","Bill","13-Week","01/08/2001","01/11/2001","04/12/2001","98.723"
"912795HC8","Bill","26-Week","01/08/2001","01/11/2001","07/12/2001","97.561"
"912795GA3","Bill","13-Week","01/02/2001","01/04/2001","04/05/2001","98.559"
"912795HA2","Bill","26-Week","01/02/2001","01/04/2001","07/05/2001","97.290"
"912795KF7","Bill","14-Day","01/02/2001","01/02/2001","01/16/2001","99.750"
"9128276Q0","Note","2-Year","12/27/2000","01/02/2001","12/31/2002","99.990"
"912795FZ9","Bill","13-Week","12/26/2000","12/28/2000","03/29/2001","98.559"
"912795GN5","Bill","26-Week","12/26/2000","12/28/2000","06/28/2001","97.219"
"912795FY2","Bill","13-Week","12/18/2000","12/21/2000","03/22/2001","98.541"
"912795GM7","Bill","26-Week","12/18/2000","12/21/2000","06/21/2001","97.139"
"912795FX4","Bill","13-Week","12/11/2000","12/14/2000","03/15/2001","98.509"
"912795GL9","Bill","26-Week","12/11/2000","12/14/2000","06/14/2001","97.073"
"912795FW6","Bill","13-Week","12/04/2000","12/07/2000","03/08/2001","98.493"
"912795GK1","Bill","26-Week","12/04/2000","12/07/2000","06/07/2001","97.048"
"912795KE0","Bill","14-Day","11/30/2000","12/01/2000","12/15/2000","99.749"
"9128276P2","Note","2-Year","11/29/2000","11/30/2000","11/30/2002","99.869"
"912795HM6","Bill","52-Week","11/28/2000","11/30/2000","11/29/2001","94.227"
"912795FV8","Bill","13-Week","11/27/2000","11/30/2000","03/01/2001","98.443"
"912795GJ4","Bill","26-Week","11/27/2000","11/30/2000","05/31/2001","96.944"
"912795FU0","Bill","13-Week","11/20/2000","11/24/2000","02/22/2001","98.456"
"912795GH8","Bill","26-Week","11/20/2000","11/24/2000","05/24/2001","96.958"
"912795KD2","Bill","33-Day","11/14/2000","11/15/2000","12/18/2000","99.416"
