"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912810RD2","Bond","29-Year 10-Month","01/09/2014","01/15/2014","11/15/2043","97.378077"
"912828WE6","Note","9-Year 10-Month","01/08/2014","01/15/2014","11/15/2023","97.805126"
"912828A91","Note","3-Year","01/07/2014","01/15/2014","01/15/2017","99.855034"
"912796AR0","Bill","4-Week","01/07/2014","01/09/2014","02/06/2014","100.000000"
"912796DF3","Bill","52-Week","01/07/2014","01/09/2014","01/08/2015","99.873611"
"912796CG2","Bill","13-Week","01/06/2014","01/09/2014","04/10/2014","99.986097"
"912796DH9","Bill","26-Week","01/06/2014","01/09/2014","07/10/2014","99.959556"
"912796BW8","Bill","4-Week","12/30/2013","01/02/2014","01/30/2014","99.999611"
"912796BA6","Bill","13-Week","12/30/2013","01/02/2014","04/03/2014","99.983569"
"912796DE6","Bill","26-Week","12/30/2013","01/02/2014","07/03/2014","99.954500"
"912796BV0","Bill","4-Week","12/23/2013","12/26/2013","01/23/2014","99.999611"
"912796CE7","Bill","13-Week","12/23/2013","12/26/2013","03/27/2014","99.982306"
"912796BP3","Bill","26-Week","12/23/2013","12/26/2013","06/26/2014","99.954500"
"912828UX6","Note","4-Year 4-Month","12/19/2013","12/31/2013","04/15/2018","103.227104"
"912828A83","Note","7-Year","12/19/2013","12/31/2013","12/31/2020","99.935882"
"912828A75","Note","5-Year","12/18/2013","12/31/2013","12/31/2018","99.521314"
"912828A67","Note","2-Year","12/17/2013","12/31/2013","12/31/2015","99.810817"
"912796BU2","Bill","4-Week","12/17/2013","12/19/2013","01/16/2014","99.999222"
"912796CD9","Bill","13-Week","12/16/2013","12/19/2013","03/20/2014","99.983569"
"912796DD8","Bill","26-Week","12/16/2013","12/19/2013","06/19/2014","99.954500"
"912810RD2","Bond","29-Year 11-Month","12/12/2013","12/16/2013","11/15/2043","97.359944"
"912828WE6","Note","9-Year 11-Month","12/11/2013","12/16/2013","11/15/2023","99.361224"
"912828A59","Note","3-Year","12/10/2013","12/16/2013","12/15/2016","99.982208"
"912796AQ2","Bill","4-Week","12/10/2013","12/12/2013","01/09/2014","99.998056"
"912796DB2","Bill","52-Week","12/10/2013","12/12/2013","12/11/2014","99.863500"
"912796CC1","Bill","13-Week","12/09/2013","12/12/2013","03/13/2014","99.982306"
"912796DC0","Bill","26-Week","12/09/2013","12/12/2013","06/12/2014","99.951972"
"912796BS7","Bill","4-Week","12/03/2013","12/05/2013","01/02/2014","99.997667"
"912796AW9","Bill","13-Week","12/03/2013","12/05/2013","03/06/2014","99.981042"
"912796DA4","Bill","26-Week","12/03/2013","12/05/2013","06/05/2014","99.949444"
"912828A42","Note","7-Year","11/27/2013","12/02/2013","11/30/2020","99.313835"
"912828A34","Note","5-Year","11/26/2013","12/02/2013","11/30/2018","99.566562"
"912796BR9","Bill","4-Week","11/26/2013","11/29/2013","12/26/2013","99.995125"
"912828A26","Note","2-Year","11/25/2013","12/02/2013","11/30/2015","99.900644"
"912796CA5","Bill","13-Week","11/25/2013","11/29/2013","02/27/2014","99.980000"
"912796BJ7","Bill","26-Week","11/25/2013","11/29/2013","05/29/2014","99.947208"
"912828VM9","Note","9-Year 8-Month","11/21/2013","11/29/2013","07/15/2023","98.864759"
"912796BQ1","Bill","4-Week","11/19/2013","11/21/2013","12/19/2013","99.995333"
"912796BZ1","Bill","13-Week","11/18/2013","11/21/2013","02/20/2014","99.979778"
"912796CZ0","Bill","26-Week","11/18/2013","11/21/2013","05/22/2014","99.949444"
"912810RD2","Bond","30-Year","11/14/2013","11/15/2013","11/15/2043","98.932768"
"912828WE6","Note","10-Year","11/13/2013","11/15/2013","11/15/2023","100.000000"
"912796AK5","Bill","4-Week","11/13/2013","11/14/2013","12/12/2013","99.995333"
"912796CL1","Bill","52-Week","11/13/2013","11/14/2013","11/13/2014","99.863500"
"912828WF3","Note","3-Year","11/12/2013","11/15/2013","11/15/2016","99.943637"
"912796BY4","Bill","13-Week","11/12/2013","11/14/2013","02/13/2014","99.981042"
"912796CM9","Bill","26-Week","11/12/2013","11/14/2013","05/15/2014","99.951972"
"912796BN8","Bill","4-Week","11/05/2013","11/07/2013","12/05/2013","99.996111"
"912796AR0","Bill","13-Week","11/04/2013","11/07/2013","02/06/2014","99.987361"
"912796CK3","Bill","26-Week","11/04/2013","11/07/2013","05/08/2014","99.957028"
"912828WC0","Note","7-Year","10/30/2013","10/31/2013","10/31/2020","99.216081"
"912796BM0","Bill","4-Week","10/29/2013","10/31/2013","11/29/2013","99.995569"
"912828WD8","Note","5-Year","10/29/2013","10/31/2013","10/31/2018","99.758710"
"912796BW8","Bill","13-Week","10/28/2013","10/31/2013","01/30/2014","99.988625"
"912796BE8","Bill","26-Week","10/28/2013","10/31/2013","05/01/2014","99.959556"
"912828WB2","Note","2-Year","10/28/2013","10/31/2013","10/31/2015","99.854588"
"912810RA8","Bond","29-Year 4-Month","10/24/2013","10/31/2013","02/15/2043","84.370207"
"912796BL2","Bill","4-Week","10/22/2013","10/24/2013","11/21/2013","99.997667"
"912796BV0","Bill","13-Week","10/21/2013","10/24/2013","01/23/2014","99.991153"
"912796CJ6","Bill","26-Week","10/21/2013","10/24/2013","04/24/2014","99.964611"
"912796AE9","Bill","4-Week","10/16/2013","10/17/2013","11/14/2013","99.981333"
"912796CJ6","Bill","189-Day","10/16/2013","10/17/2013","04/24/2014","99.929125"
"912796CF4","Bill","52-Week","10/16/2013","10/17/2013","10/16/2014","99.838222"
"912796BU2","Bill","13-Week","10/15/2013","10/17/2013","01/16/2014","99.967139"
"912796CH0","Bill","26-Week","10/15/2013","10/17/2013","04/17/2014","99.924167"
"912810RC4","Bond","29-Year 10-Month","10/10/2013","10/15/2013","08/15/2043","97.618838"
"912828VS6","Note","9-Year 10-Month","10/09/2013","10/15/2013","08/15/2023","98.645362"
"912796FU8","Bill","5-Day","10/09/2013","10/10/2013","10/15/2013","99.995833"
"912828WA4","Note","3-Year","10/08/2013","10/15/2013","10/15/2016","99.748139"
"912796BK4","Bill","4-Week","10/08/2013","10/10/2013","11/07/2013","99.972778"
"912796AQ2","Bill","13-Week","10/07/2013","10/10/2013","01/09/2014","99.991153"
"912796CG2","Bill","26-Week","10/07/2013","10/10/2013","04/10/2014","99.969667"
"912796BF5","Bill","7-Day","10/02/2013","10/03/2013","10/10/2013","99.999417"
"912796BH1","Bill","4-Week","10/01/2013","10/03/2013","10/31/2013","99.990667"
"912796BS7","Bill","13-Week","09/30/2013","10/03/2013","01/02/2014","99.997472"
"912796BA6","Bill","26-Week","09/30/2013","10/03/2013","04/03/2014","99.979778"
"912828VZ0","Note","7-Year","09/26/2013","09/30/2013","09/30/2020","99.623686"
"912828RH5","Note","5-Year","09/25/2013","09/30/2013","09/30/2018","99.706706"
"912828VY3","Note","2-Year","09/24/2013","09/30/2013","09/30/2015","99.804850"
"912796BG3","Bill","4-Week","09/24/2013","09/26/2013","10/24/2013","99.998833"
"912796BR9","Bill","13-Week","09/23/2013","09/26/2013","12/26/2013","99.994944"
"912796CE7","Bill","26-Week","09/23/2013","09/26/2013","03/27/2014","99.974722"
"912828VM9","Note","9-Year 10-Month","09/19/2013","09/30/2013","07/15/2023","99.178464"
"912795Z87","Bill","4-Week","09/17/2013","09/19/2013","10/17/2013","100.000000"
"912796CB3","Bill","52-Week","09/17/2013","09/19/2013","09/18/2014","99.878667"
"912796BQ1","Bill","13-Week","09/16/2013","09/19/2013","12/19/2013","99.997472"
"912796CD9","Bill","26-Week","09/16/2013","09/19/2013","03/20/2014","99.984833"
"912810RC4","Bond","29-Year 11-Month","09/12/2013","09/16/2013","08/15/2043","96.536207"
"912828VS6","Note","9-Year 11-Month","09/11/2013","09/16/2013","08/15/2023","96.187171"
"912828VW7","Note","3-Year","09/10/2013","09/16/2013","09/15/2016","99.887890"
"912796FM6","Bill","5-Day","09/10/2013","09/12/2013","09/17/2013","99.999444"
"912796BF5","Bill","4-Week","09/10/2013","09/12/2013","10/10/2013","99.999222"
"912796AK5","Bill","13-Week","09/09/2013","09/12/2013","12/12/2013","99.994944"
"912796CC1","Bill","26-Week","09/09/2013","09/12/2013","03/13/2014","99.982306"
"912796FL8","Bill","11-Day","09/04/2013","09/05/2013","09/16/2013","99.999083"
"912796BD0","Bill","4-Week","09/04/2013","09/05/2013","10/03/2013","99.998444"
"912796BN8","Bill","13-Week","09/03/2013","09/05/2013","12/05/2013","99.992417"
"912796AW9","Bill","26-Week","09/03/2013","09/05/2013","03/06/2014","99.972194"
"912828VV9","Note","7-Year","08/29/2013","09/03/2013","08/31/2020","99.381289"
"912828RE2","Note","5-Year","08/28/2013","09/03/2013","08/31/2018","99.407655"
