"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912795QG9","Bill","12-Day","09/02/2003","09/03/2003","09/15/2003","99.967"
"912828BJ8","Note","2-Year","08/27/2003","09/02/2003","08/31/2005","99.922"
"912795NP2","Bill","4-Week","08/26/2003","08/28/2003","09/25/2003","99.923"
"912795NY3","Bill","13-Week","08/25/2003","08/28/2003","11/28/2003","99.750"
"912795PM7","Bill","26-Week","08/25/2003","08/28/2003","02/26/2004","99.474"
"912795NN7","Bill","4-Week","08/19/2003","08/21/2003","09/18/2003","99.927"
"912795NX5","Bill","13-Week","08/18/2003","08/21/2003","11/20/2003","99.761"
"912795PL9","Bill","26-Week","08/18/2003","08/21/2003","02/19/2004","99.477"
"912795NM9","Bill","4-Week","08/12/2003","08/14/2003","09/11/2003","99.929"
"912795NW7","Bill","13-Week","08/11/2003","08/14/2003","11/13/2003","99.762"
"912795PK1","Bill","26-Week","08/11/2003","08/14/2003","02/12/2004","99.479"
"912828BH2","Note","10-Year","08/07/2003","08/15/2003","08/15/2013","99.036"
"912828BG4","Note","5-Year","08/06/2003","08/15/2003","08/15/2008","99.771"
"912828BF6","Note","3-Year","08/05/2003","08/15/2003","08/15/2006","99.865"
"912795NL1","Bill","4-Week","08/05/2003","08/07/2003","09/04/2003","99.929"
"912795NV9","Bill","13-Week","08/04/2003","08/07/2003","11/06/2003","99.761"
"912795PJ4","Bill","26-Week","08/04/2003","08/07/2003","02/05/2004","99.482"
"912795NK3","Bill","4-Week","07/29/2003","07/31/2003","08/28/2003","99.925"
"912795NU1","Bill","13-Week","07/28/2003","07/31/2003","10/30/2003","99.761"
"912795PH8","Bill","26-Week","07/28/2003","07/31/2003","01/29/2004","99.505"
"912828BE9","Note","2-Year","07/23/2003","07/31/2003","07/31/2005","99.980"
"912795NJ6","Bill","4-Week","07/22/2003","07/24/2003","08/21/2003","99.932"
"912795NT4","Bill","13-Week","07/21/2003","07/24/2003","10/23/2003","99.774"
"912795PG0","Bill","26-Week","07/21/2003","07/24/2003","01/22/2004","99.520"
"912795NH0","Bill","4-Week","07/15/2003","07/17/2003","08/14/2003","99.935"
"912795NS6","Bill","13-Week","07/14/2003","07/17/2003","10/16/2003","99.778"
"912795PF2","Bill","26-Week","07/14/2003","07/17/2003","01/15/2004","99.530"
"912828BD1","Note","10-Year","07/09/2003","07/15/2003","07/15/2013","98.881"
"912795NG2","Bill","4-Week","07/08/2003","07/10/2003","08/07/2003","99.931"
"912795NR8","Bill","13-Week","07/07/2003","07/10/2003","10/09/2003","99.775"
"912795PE5","Bill","26-Week","07/07/2003","07/10/2003","01/08/2004","99.525"
"912795NF4","Bill","4-Week","07/01/2003","07/03/2003","07/31/2003","99.933"
"912795NQ0","Bill","13-Week","06/30/2003","07/03/2003","10/02/2003","99.776"
"912795PD7","Bill","26-Week","06/30/2003","07/03/2003","01/02/2004","99.517"
"912828BC3","Note","2-Year","06/25/2003","06/30/2003","06/30/2005","99.894"
"912795NE7","Bill","4-Week","06/24/2003","06/26/2003","07/24/2003","99.938"
"912795NP2","Bill","13-Week","06/23/2003","06/26/2003","09/25/2003","99.794"
"912795PC9","Bill","26-Week","06/23/2003","06/26/2003","12/26/2003","99.573"
"912795ND9","Bill","4-Week","06/17/2003","06/19/2003","07/17/2003","99.930"
"912795NN7","Bill","13-Week","06/16/2003","06/19/2003","09/18/2003","99.788"
"912795PB1","Bill","26-Week","06/16/2003","06/19/2003","12/18/2003","99.573"
"912828AZ3","Note","4-Year 11-Month","06/11/2003","06/16/2003","05/15/2008","102.437"
"912795NC1","Bill","4-Week","06/10/2003","06/12/2003","07/10/2003","99.916"
