"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796K24","Bill","8-Week","06/17/2021","06/22/2021","08/17/2021","99.994556"
"912796M48","Bill","119-Day","06/16/2021","06/22/2021","10/19/2021","99.988431"
"912810SY5","Bond","19-Year 11-Month","06/15/2021","06/30/2021","05/15/2041","102.097342"
"912796C56","Bill","42-Day","06/15/2021","06/17/2021","07/29/2021","99.998250"
"912796J42","Bill","52-Week","06/15/2021","06/17/2021","06/16/2022","99.929222"
"912796F46","Bill","13-Week","06/14/2021","06/17/2021","09/16/2021","99.993681"
"912796J67","Bill","26-Week","06/14/2021","06/17/2021","12/16/2021","99.979778"
"912796H93","Bill","4-Week","06/10/2021","06/15/2021","07/13/2021","99.999611"
"912796J91","Bill","8-Week","06/10/2021","06/15/2021","08/10/2021","99.996889"
"912810SX7","Bond","29-Year 11-Month","06/10/2021","06/15/2021","05/15/2051","104.447071"
"912796M30","Bill","119-Day","06/09/2021","06/15/2021","10/12/2021","99.990083"
"91282CCB5","Note","9-Year 11-Month","06/09/2021","06/15/2021","05/15/2031","101.174616"
"91282CCG4","Note","3-Year","06/08/2021","06/15/2021","06/15/2024","99.776274"
"912796C49","Bill","42-Day","06/08/2021","06/10/2021","07/22/2021","99.998833"
"9127964L0","Bill","13-Week","06/07/2021","06/10/2021","09/09/2021","99.993681"
"912796J59","Bill","26-Week","06/07/2021","06/10/2021","12/09/2021","99.979778"
"912796H85","Bill","4-Week","06/03/2021","06/08/2021","07/06/2021","100.000000"
"912796J83","Bill","8-Week","06/03/2021","06/08/2021","08/03/2021","99.997667"
"912796M22","Bill","119-Day","06/02/2021","06/08/2021","10/05/2021","99.990083"
"9127963S6","Bill","42-Day","06/01/2021","06/03/2021","07/15/2021","99.999417"
"912796D63","Bill","13-Week","06/01/2021","06/03/2021","09/02/2021","99.994944"
"9127965G0","Bill","26-Week","06/01/2021","06/03/2021","12/02/2021","99.982306"
"912796H36","Bill","4-Week","05/27/2021","06/01/2021","06/29/2021","100.000000"
"912796J34","Bill","8-Week","05/27/2021","06/01/2021","07/27/2021","99.999222"
"91282CCE9","Note","7-Year","05/27/2021","06/01/2021","05/31/2028","99.766478"
"912796L56","Bill","119-Day","05/26/2021","06/01/2021","09/28/2021","99.993389"
"91282CCF6","Note","5-Year","05/26/2021","06/01/2021","05/31/2026","99.814145"
"91282CBY6","Note","1-Year 11-Month","05/26/2021","05/28/2021","04/30/2023","100.007796"
"91282CCD1","Note","2-Year","05/25/2021","06/01/2021","05/31/2023","99.946175"
"912796B57","Bill","42-Day","05/25/2021","05/27/2021","07/08/2021","99.999417"
