"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794PK4","Bill","26-Week","10/13/1987","10/15/1987","04/14/1988",""
"912827VK5","Note","7-Year","10/07/1987","10/15/1987","10/15/1994",""
"912827VJ8","Note","4-Year","10/06/1987","10/15/1987","09/30/1991",""
"912794NV2","Bill","13-Week","10/05/1987","10/08/1987","01/07/1988",""
"912794PJ7","Bill","26-Week","10/05/1987","10/08/1987","04/07/1988",""
"912794NT7","Bill","13-Week","10/01/1987","10/05/1987","12/24/1987",""
"912794PG3","Bill","26-Week","10/01/1987","10/05/1987","03/24/1988",""
"912794QA5","Bill","52-Week","09/30/1987","10/01/1987","09/29/1988",""
"912827VH2","Note","2-Year","09/29/1987","09/30/1987","09/30/1989",""
"912794NU4","Bill","13-Week","09/28/1987","10/01/1987","12/31/1987",""
"912794PH1","Bill","26-Week","09/28/1987","10/01/1987","03/31/1988",""
"912794NS9","Bill","13-Week","09/14/1987","09/17/1987","12/17/1987",""
"912794PF5","Bill","26-Week","09/14/1987","09/17/1987","03/17/1988",""
"912794NR1","Bill","13-Week","09/08/1987","09/10/1987","12/10/1987",""
"912794PE8","Bill","26-Week","09/08/1987","09/10/1987","03/10/1988",""
"912794PZ1","Bill","52-Week","09/01/1987","09/03/1987","09/01/1988",""
"912794NQ3","Bill","13-Week","08/31/1987","09/03/1987","12/03/1987",""
"912794PD0","Bill","26-Week","08/31/1987","09/03/1987","03/03/1988",""
"912827VG4","Note","5-Year 2-Month","08/27/1987","09/03/1987","11/15/1992",""
"912827VF6","Note","2-Year","08/26/1987","08/31/1987","08/31/1989",""
"912794NP5","Bill","13-Week","08/24/1987","08/27/1987","11/27/1987",""
"912794PC2","Bill","26-Week","08/24/1987","08/27/1987","02/25/1988",""
"912794NN0","Bill","13-Week","08/17/1987","08/20/1987","11/19/1987",""
"912794PB4","Bill","26-Week","08/17/1987","08/20/1987","02/18/1988",""
"912810DZ8","Bond","30-Year","08/13/1987","08/17/1987","08/15/2017",""
"912827VE9","Note","10-Year","08/12/1987","08/17/1987","08/15/1997",""
"912827VD1","Note","3-Year","08/11/1987","08/17/1987","08/15/1990",""
"912794NM2","Bill","13-Week","08/10/1987","08/13/1987","11/12/1987",""
"912794PA6","Bill","26-Week","08/10/1987","08/13/1987","02/11/1988",""
"912794PY4","Bill","52-Week","08/04/1987","08/06/1987","08/04/1988",""
"912794NL4","Bill","13-Week","08/03/1987","08/06/1987","11/05/1987",""
"912794NZ3","Bill","26-Week","08/03/1987","08/06/1987","02/04/1988",""
"912794NJ9","Bill","13-Week","07/31/1987","08/03/1987","10/22/1987",""
"912794NX8","Bill","26-Week","07/31/1987","08/03/1987","01/21/1988",""
"912827VC3","Note","2-Year","07/30/1987","07/31/1987","07/31/1989",""
"912794NK6","Bill","13-Week","07/30/1987","07/30/1987","10/29/1987",""
"912794NY6","Bill","26-Week","07/30/1987","07/30/1987","01/28/1988",""
"912794NH3","Bill","13-Week","07/13/1987","07/16/1987","10/15/1987",""
"912794NW0","Bill","26-Week","07/13/1987","07/16/1987","01/14/1988",""
"912794NG5","Bill","13-Week","07/06/1987","07/09/1987","10/08/1987",""
"912794NV2","Bill","26-Week","07/06/1987","07/09/1987","01/07/1988",""
"912794PX6","Bill","52-Week","07/02/1987","07/09/1987","07/07/1988",""
"912794NF7","Bill","13-Week","06/29/1987","07/02/1987","10/01/1987",""
"912794NU4","Bill","26-Week","06/29/1987","07/02/1987","12/31/1987",""
"912827VB5","Note","7-Year","06/25/1987","07/06/1987","07/15/1994",""
"912827VA7","Note","4-Year","06/24/1987","06/30/1987","06/30/1991",""
"912827UZ3","Note","2-Year","06/23/1987","06/30/1987","06/30/1989",""
"912794NE0","Bill","13-Week","06/22/1987","06/25/1987","09/24/1987",""
"912794NT7","Bill","26-Week","06/22/1987","06/25/1987","12/24/1987",""
"912794ND2","Bill","13-Week","06/15/1987","06/18/1987","09/17/1987",""
"912794NS9","Bill","26-Week","06/15/1987","06/18/1987","12/17/1987",""
"912794NC4","Bill","13-Week","06/08/1987","06/11/1987","09/10/1987",""
"912794NR1","Bill","26-Week","06/08/1987","06/11/1987","12/10/1987",""
"912794PT5","Bill","52-Week","06/04/1987","06/11/1987","06/09/1988",""
"912794NB6","Bill","13-Week","06/01/1987","06/04/1987","09/03/1987",""
"912794NQ3","Bill","26-Week","06/01/1987","06/04/1987","12/03/1987",""
"912827UY6","Note","5-Year 2-Month","05/27/1987","06/03/1987","08/15/1992",""
"912794NA8","Bill","13-Week","05/26/1987","05/28/1987","08/27/1987",""
"912794NP5","Bill","26-Week","05/26/1987","05/28/1987","11/27/1987",""
"912827UX8","Note","2-Year","05/20/1987","06/01/1987","05/31/1989",""
"912794MZ4","Bill","13-Week","05/18/1987","05/21/1987","08/20/1987",""
"912794NN0","Bill","26-Week","05/18/1987","05/21/1987","11/19/1987",""
"912794PP3","Bill","52-Week","05/12/1987","05/14/1987","05/12/1988",""
"912794MY7","Bill","13-Week","05/11/1987","05/14/1987","08/13/1987",""
"912794NM2","Bill","26-Week","05/11/1987","05/14/1987","11/12/1987",""
"912810DY1","Bond","30-Year","05/07/1987","05/15/1987","05/15/2017",""
"912827UW0","Note","10-Year","05/06/1987","05/15/1987","05/15/1997",""
"912827UV2","Note","3-Year","05/05/1987","05/15/1987","05/15/1990",""
"912794MX9","Bill","13-Week","05/04/1987","05/07/1987","08/06/1987",""
"912794NL4","Bill","26-Week","05/04/1987","05/07/1987","11/05/1987",""
"912794MW1","Bill","13-Week","04/27/1987","04/30/1987","07/30/1987",""
"912794NK6","Bill","26-Week","04/27/1987","04/30/1987","10/29/1987",""
"912827UU4","Note","2-Year","04/22/1987","04/30/1987","04/30/1989",""
"912794MV3","Bill","13-Week","04/20/1987","04/23/1987","07/23/1987",""
"912794NJ9","Bill","26-Week","04/20/1987","04/23/1987","10/22/1987",""
"912794MU5","Bill","13-Week","04/13/1987","04/16/1987","07/16/1987",""
"912794NH3","Bill","26-Week","04/13/1987","04/16/1987","10/15/1987",""
"912794PK4","Bill","52-Week","04/09/1987","04/16/1987","04/14/1988",""
"912794MT8","Bill","13-Week","04/06/1987","04/09/1987","07/09/1987",""
