"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912794VX9","Bill","13-Week","11/26/1990","11/29/1990","02/28/1991",""
"912794WL4","Bill","26-Week","11/26/1990","11/29/1990","05/30/1991",""
"912794VW1","Bill","13-Week","11/19/1990","11/23/1990","02/21/1991",""
"912794WK6","Bill","26-Week","11/19/1990","11/23/1990","05/23/1991",""
"912794WW0","Bill","52-Week","11/15/1990","11/23/1990","11/21/1991",""
"912794VV3","Bill","13-Week","11/13/1990","11/15/1990","02/14/1991",""
"912794WJ9","Bill","26-Week","11/13/1990","11/15/1990","05/16/1991",""
"912794WF7","Bill","161-Day","11/08/1990","11/15/1990","04/25/1991",""
"912810EG9","Bond","29-Year 9-Month","11/08/1990","11/15/1990","08/15/2020",""
"912827ZN5","Note","10-Year","11/07/1990","11/15/1990","11/15/2000",""
"912827ZM7","Note","3-Year","11/06/1990","11/15/1990","11/15/1993",""
"912794VU5","Bill","13-Week","11/05/1990","11/08/1990","02/07/1991",""
"912794WH3","Bill","26-Week","11/05/1990","11/08/1990","05/09/1991",""
"912827ZL9","Note","2-Year","10/30/1990","10/31/1990","10/31/1992",""
"912794VT8","Bill","13-Week","10/29/1990","11/01/1990","01/31/1991",""
"912794WG5","Bill","26-Week","10/29/1990","11/01/1990","05/02/1991",""
"912794WV2","Bill","52-Week","10/26/1990","10/26/1990","10/24/1991",""
"912794VS0","Bill","13-Week","10/25/1990","10/25/1990","01/24/1991",""
"912794WF7","Bill","26-Week","10/25/1990","10/25/1990","04/25/1991",""
"912794VN1","Bill","69-Day","10/19/1990","10/19/1990","12/27/1990",""
"912794VR2","Bill","13-Week","10/15/1990","10/18/1990","01/17/1991",""
"912794WE0","Bill","26-Week","10/15/1990","10/18/1990","04/18/1991",""
"912827ZK1","Note","7-Year","10/10/1990","10/15/1990","10/15/1997",""
"912794VQ4","Bill","13-Week","10/09/1990","10/11/1990","01/10/1991",""
"912794WD2","Bill","26-Week","10/09/1990","10/11/1990","04/11/1991",""
"912794VP6","Bill","13-Week","10/01/1990","10/04/1990","01/03/1991",""
"912794WC4","Bill","26-Week","10/01/1990","10/04/1990","04/04/1991",""
"912827ZJ4","Note","4-Year","09/26/1990","10/01/1990","09/30/1994",""
"912827ZH8","Note","2-Year","09/25/1990","10/01/1990","09/30/1992",""
"912794VN1","Bill","13-Week","09/24/1990","09/27/1990","12/27/1990",""
"912794WB6","Bill","26-Week","09/24/1990","09/27/1990","03/28/1991",""
"912794WU4","Bill","52-Week","09/20/1990","09/27/1990","09/26/1991",""
"912794UT9","Bill","13-Week","09/17/1990","09/20/1990","12/20/1990",""
"912794WA8","Bill","26-Week","09/17/1990","09/20/1990","03/21/1991",""
"912794VM3","Bill","13-Week","09/10/1990","09/13/1990","12/13/1990",""
"912794VZ4","Bill","26-Week","09/10/1990","09/13/1990","03/14/1991",""
