"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912797FE2","Bill","8-Week","03/17/2023","03/21/2023","05/16/2023","99.307778"
"912797FY8","Bill","17-Week","03/15/2023","03/21/2023","07/18/2023","98.429861"
"912796X53","Bill","13-Week","03/13/2023","03/16/2023","06/15/2023","98.799306"
"912796CQ0","Bill","26-Week","03/13/2023","03/16/2023","09/14/2023","97.623889"
"912810TN8","Bond","29-Year 11-Month","03/09/2023","03/15/2023","02/15/2053","95.555716"
"912796CT4","Bill","4-Week","03/09/2023","03/14/2023","04/11/2023","99.639111"
"912797FD4","Bill","8-Week","03/09/2023","03/14/2023","05/09/2023","99.250222"
"91282CGM7","Note","9-Year 11-Month","03/08/2023","03/15/2023","02/15/2033","96.052286"
"912797FX0","Bill","17-Week","03/08/2023","03/14/2023","07/11/2023","98.332347"
"91282CGR6","Note","3-Year","03/07/2023","03/15/2023","03/15/2026","99.972290"
"912796ZP7","Bill","13-Week","03/06/2023","03/09/2023","06/08/2023","98.795514"
"912796YH6","Bill","26-Week","03/06/2023","03/09/2023","09/07/2023","97.487389"
"912796Z93","Bill","4-Week","03/02/2023","03/07/2023","04/04/2023","99.643000"
"912796CW7","Bill","8-Week","03/02/2023","03/07/2023","05/02/2023","99.275889"
"912797FR3","Bill","17-Week","03/01/2023","03/07/2023","07/05/2023","98.371667"
"912796ZG7","Bill","13-Week","02/27/2023","03/02/2023","06/01/2023","98.799306"
"912796Z51","Bill","26-Week","02/27/2023","03/02/2023","08/31/2023","97.502556"
"912796YL7","Bill","16-Day","02/23/2023","02/28/2023","03/16/2023","99.801778"
"912796Z85","Bill","4-Week","02/23/2023","02/28/2023","03/28/2023","99.648833"
"912796CV9","Bill","8-Week","02/23/2023","02/28/2023","04/25/2023","99.275111"
"91282CGQ8","Note","7-Year","02/23/2023","02/28/2023","02/28/2030","99.625524"
"912797FQ5","Bill","17-Week","02/22/2023","02/28/2023","06/27/2023","98.403417"
