"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"9128283V0","Note","7-Year","01/25/2018","01/31/2018","01/31/2025","99.585928"
"9128283T5","Note","2-Year","01/24/2018","01/31/2018","01/31/2020","100.000000"
"9128283U2","Note","5-Year","01/24/2018","01/31/2018","01/31/2023","99.723821"
"9128283S7","Note","2-Year","01/23/2018","01/31/2018","01/31/2020","99.871340"
"912796NT2","Bill","4-Week","01/23/2018","01/25/2018","02/22/2018","99.904333"
"912796LX5","Bill","13-Week","01/22/2018","01/25/2018","04/26/2018","99.638528"
"912796PR4","Bill","26-Week","01/22/2018","01/25/2018","07/26/2018","99.183528"
"912796NP0","Bill","6-Day","01/19/2018","01/19/2018","01/25/2018","99.979833"
"9128283R9","Note","10-Year","01/18/2018","01/31/2018","01/15/2028","99.536480"
"912796NS4","Bill","4-Week","01/16/2018","01/18/2018","02/15/2018","99.899278"
"912796PB9","Bill","13-Week","01/16/2018","01/18/2018","04/19/2018","99.638528"
"912796MK2","Bill","26-Week","01/16/2018","01/18/2018","07/19/2018","99.191111"
"912810RZ3","Bond","29-Year 10-Month","01/11/2018","01/16/2018","11/15/2047","97.660428"
"9128283F5","Note","9-Year 10-Month","01/10/2018","01/16/2018","11/15/2027","97.156278"
"9128283Q1","Note","3-Year","01/09/2018","01/16/2018","01/15/2021","99.768648"
"912796NR6","Bill","4-Week","01/09/2018","01/11/2018","02/08/2018","99.900444"
"912796PA1","Bill","13-Week","01/08/2018","01/11/2018","04/12/2018","99.638528"
"912796PQ6","Bill","26-Week","01/08/2018","01/11/2018","07/12/2018","99.203750"
"912796LJ6","Bill","4-Week","01/02/2018","01/04/2018","02/01/2018","99.901222"
"912796NY1","Bill","13-Week","01/02/2018","01/04/2018","04/05/2018","99.637264"
"912796PN3","Bill","26-Week","01/02/2018","01/04/2018","07/05/2018","99.203750"
"912796PK9","Bill","52-Week","01/02/2018","01/04/2018","01/03/2019","98.200222"
"9128283P3","Note","7-Year","12/28/2017","01/02/2018","12/31/2024","99.230576"
"912828N30","Note","5-Year","12/27/2017","01/02/2018","12/31/2022","99.435896"
"9128283B4","Note","1-Year 10-Month","12/27/2017","12/29/2017","10/31/2019","100.023603"
"9128283N8","Note","2-Year","12/26/2017","01/02/2018","12/31/2019","99.908366"
"912796NP0","Bill","4-Week","12/26/2017","12/28/2017","01/25/2018","99.903167"
"912796LS6","Bill","13-Week","12/26/2017","12/28/2017","03/29/2018","99.634736"
"912796PM5","Bill","26-Week","12/26/2017","12/28/2017","06/28/2018","99.226500"
"912828X39","Note","4-Year 4-Month","12/21/2017","12/29/2017","04/15/2022","100.374263"
"912796NN5","Bill","4-Week","12/19/2017","12/21/2017","01/18/2018","99.903167"
"912796NX3","Bill","13-Week","12/18/2017","12/21/2017","03/22/2018","99.657486"
"912796MF3","Bill","26-Week","12/18/2017","12/21/2017","06/21/2018","99.251778"
"912810RZ3","Bond","29-Year 11-Month","12/12/2017","12/15/2017","11/15/2047","98.908728"
"912796ML0","Bill","4-Week","12/12/2017","12/14/2017","01/11/2018","99.903556"
"9128283L2","Note","3-Year","12/11/2017","12/15/2017","12/15/2020","99.834636"
"9128283F5","Note","9-Year 11-Month","12/11/2017","12/15/2017","11/15/2027","98.820844"
"912796NW5","Bill","13-Week","12/11/2017","12/14/2017","03/15/2018","99.666333"
"912796PL7","Bill","26-Week","12/11/2017","12/14/2017","06/14/2018","99.261889"
"912796NN5","Bill","41-Day","12/08/2017","12/08/2017","01/18/2018","99.866750"
"912796LC1","Bill","4-Week","12/05/2017","12/07/2017","01/04/2018","99.908222"
"912796PE3","Bill","52-Week","12/05/2017","12/07/2017","12/06/2018","98.331667"
"912796NU9","Bill","13-Week","12/04/2017","12/07/2017","03/08/2018","99.673917"
"912796PJ2","Bill","26-Week","12/04/2017","12/07/2017","06/07/2018","99.266944"
"912796MJ5","Bill","4-Week","11/28/2017","11/30/2017","12/28/2017","99.909000"
"9128283J7","Note","7-Year","11/28/2017","11/30/2017","11/30/2024","99.322976"
"912796LN7","Bill","13-Week","11/27/2017","11/30/2017","03/01/2018","99.675181"
"912796PH6","Bill","26-Week","11/27/2017","11/30/2017","05/31/2018","99.274528"
"9128283H1","Note","2-Year","11/27/2017","11/30/2017","11/30/2019","99.970650"
"912828M80","Note","5-Year","11/27/2017","11/30/2017","11/30/2022","99.688000"
"912796MH9","Bill","4-Week","11/21/2017","11/24/2017","12/21/2017","99.915250"
"9128283B4","Note","1-Year 11-Month","11/21/2017","11/24/2017","10/31/2019","100.024939"
"912796NT2","Bill","13-Week","11/20/2017","11/24/2017","02/22/2018","99.678750"
"912796MB2","Bill","26-Week","11/20/2017","11/24/2017","05/24/2018","99.288569"
"9128282L3","Note","9-Year 8-Month","11/16/2017","11/30/2017","07/15/2027","99.585502"
"912796MG1","Bill","4-Week","11/14/2017","11/16/2017","12/14/2017","99.918722"
"912796NS4","Bill","13-Week","11/13/2017","11/16/2017","02/15/2018","99.686556"
"912796PG8","Bill","26-Week","11/13/2017","11/16/2017","05/17/2018","99.312444"
"912810RZ3","Bond","30-Year","11/09/2017","11/15/2017","11/15/2047","98.969630"
"9128283F5","Note","10-Year","11/08/2017","11/15/2017","11/15/2027","99.431569"
"9128283G3","Note","3-Year","11/07/2017","11/15/2017","11/15/2020","100.000000"
"912796LB3","Bill","4-Week","11/07/2017","11/09/2017","12/07/2017","99.919500"
"912796PD5","Bill","52-Week","11/07/2017","11/09/2017","11/08/2018","98.498500"
"912796NR6","Bill","13-Week","11/06/2017","11/09/2017","02/08/2018","99.700458"
"912796PF0","Bill","26-Week","11/06/2017","11/09/2017","05/10/2018","99.342778"
"912796ME6","Bill","4-Week","10/31/2017","11/02/2017","11/30/2017","99.920667"
"912796LJ6","Bill","13-Week","10/30/2017","11/02/2017","02/01/2018","99.714361"
"912796PC7","Bill","26-Week","10/30/2017","11/02/2017","05/03/2018","99.363000"
"912796RX9","Bill","37-Day","10/30/2017","11/01/2017","12/08/2017","99.894139"
"9128283D0","Note","7-Year","10/26/2017","10/31/2017","10/31/2024","99.806914"
"9128283B4","Note","2-Year","10/25/2017","10/31/2017","10/31/2019","100.000000"
"9128283C2","Note","5-Year","10/25/2017","10/31/2017","10/31/2022","99.725759"
"912828F62","Note","2-Year","10/24/2017","10/31/2017","10/31/2019","99.811770"
"912796MD8","Bill","4-Week","10/24/2017","10/26/2017","11/24/2017","99.919042"
"912796NP0","Bill","13-Week","10/23/2017","10/26/2017","01/25/2018","99.720681"
"912796LX5","Bill","26-Week","10/23/2017","10/26/2017","04/26/2018","99.370583"
"912810RW0","Bond","29-Year 4-Month","10/19/2017","10/31/2017","02/15/2047","100.838047"
"912796MC0","Bill","4-Week","10/17/2017","10/19/2017","11/16/2017","99.922611"
"912796NN5","Bill","13-Week","10/16/2017","10/19/2017","01/18/2018","99.724472"
"912796PB9","Bill","26-Week","10/16/2017","10/19/2017","04/19/2018","99.373111"
"912810RY6","Bond","29-Year 10-Month","10/12/2017","10/16/2017","08/15/2047","97.601366"
"9128282Z2","Note","3-Year","10/11/2017","10/16/2017","10/15/2020","99.906770"
"9128282R0","Note","9-Year 10-Month","10/11/2017","10/16/2017","08/15/2027","99.158502"
"912796KX6","Bill","4-Week","10/10/2017","10/12/2017","11/09/2017","99.921056"
"912796ML0","Bill","13-Week","10/10/2017","10/12/2017","01/11/2018","99.725736"
"912796PA1","Bill","26-Week","10/10/2017","10/12/2017","04/12/2018","99.383222"
"912796NZ8","Bill","52-Week","10/10/2017","10/12/2017","10/11/2018","98.619833"
"912796MA4","Bill","4-Week","10/03/2017","10/05/2017","11/02/2017","99.923778"
"912796LC1","Bill","13-Week","10/02/2017","10/05/2017","01/04/2018","99.734583"
"912796NY1","Bill","26-Week","10/02/2017","10/05/2017","04/05/2018","99.398389"
"9128282Y5","Note","7-Year","09/28/2017","10/02/2017","09/30/2024","99.967545"
"9128282W9","Note","5-Year","09/27/2017","10/02/2017","09/30/2022","99.829191"
"9128282M1","Note","1-Year 10-Month","09/27/2017","09/29/2017","07/31/2019","100.009018"
"9128282X7","Note","2-Year","09/26/2017","10/02/2017","09/30/2019","99.829541"
"912796LZ0","Bill","4-Week","09/26/2017","09/28/2017","10/26/2017","99.924556"
"912796MJ5","Bill","13-Week","09/25/2017","09/28/2017","12/28/2017","99.734583"
"912796LS6","Bill","26-Week","09/25/2017","09/28/2017","03/29/2018","99.408500"
"9128282L3","Note","9-Year 10-Month","09/21/2017","09/29/2017","07/15/2027","99.354592"
"912796LY3","Bill","4-Week","09/19/2017","09/21/2017","10/19/2017","99.925333"
"912796MH9","Bill","13-Week","09/18/2017","09/21/2017","12/21/2017","99.735847"
